label,cond,abs_disc,eqn
163840.b.327680.1,163840,327680,"[[-4,2,0,4,-4,1],[]]"
163840.c.327680.1,163840,327680,"[[0,2,4,4,2,1],[]]"
163840.d.327680.1,163840,327680,"[[4,2,0,4,4,1],[]]"
163840.e.327680.1,163840,327680,"[[0,2,-4,4,-2,1],[]]"
163840.f.327680.1,163840,327680,"[[0,2,0,0,-2,1],[]]"
165888.e.331776.1,165888,331776,"[[-1,-1,-1,2,2,2],[]]"
165888.f.331776.1,165888,331776,"[[1,-1,1,2,-2,2],[]]"
165888.g.663552.1,165888,663552,"[[1,0,-5,-1,6,2],[]]"
165888.h.995328.1,165888,995328,"[[-2,0,2,-1,0,1],[]]"
165888.i.995328.1,165888,995328,"[[0,-2,2,0,-1,1],[]]"
165888.j.995328.1,165888,995328,"[[2,0,-2,-1,0,1],[]]"
165888.k.995328.1,165888,995328,"[[0,-2,-2,0,1,1],[]]"
165888.l.995328.1,165888,995328,"[[0,1,-4,0,2,1],[]]"
165888.m.995328.1,165888,995328,"[[0,1,4,0,-2,1],[]]"
16768.b.536576.1,16768,536576,"[[-1,0,2,-2,-2,2,1],[1,1]]"
16896.a.540672.1,16896,540672,"[[-36,112,-45,-66,-12,1],[0,0,0,1]]"
16896.b.540672.1,16896,540672,"[[-1,-3,-2,10,7,-8,-4],[1]]"
168960.a.675840.1,168960,675840,"[[-8,-6,15,1,-7,2],[]]"
168960.b.675840.1,168960,675840,"[[8,-6,-15,1,7,2],[]]"
1696.a.217088.1,1696,217088,"[[-1,-7,-22,-28,-24,1],[1,0,1]]"
1696.b.434176.1,1696,434176,"[[26,3,-12,9,2,-2,1],[0,1]]"
169984.a.339968.1,169984,339968,"[[1,1,2,3,1,2],[]]"
169984.b.339968.1,169984,339968,"[[-1,-4,-8,-7,-2,2],[]]"
169984.c.339968.1,169984,339968,"[[-1,1,-2,3,-1,2],[]]"
169984.d.679936.1,169984,679936,"[[1,4,5,1,-4,1],[]]"
169984.e.679936.1,169984,679936,"[[-4,2,-4,3,-1,1],[]]"
169984.f.679936.1,169984,679936,"[[4,-2,0,-1,-1,1],[]]"
1728.b.442368.1,1728,442368,"[[3,0,6,0,4,0,1],[]]"
17280.a.552960.1,17280,552960,"[[15,0,8,0,-7,0,1],[0,1]]"
17280.b.552960.1,17280,552960,"[[-15,0,8,0,7,0,1],[0,1]]"
17280.c.552960.1,17280,552960,"[[4,4,-4,-1,-1,1],[]]"
17408.a.557056.1,17408,557056,"[[4,4,7,4,3,1],[0,0,0,1]]"
176128.a.176128.1,176128,176128,"[[0,-1,2,0,0,1],[]]"
176128.b.176128.1,176128,176128,"[[-2,-1,0,4,4,1],[]]"
176128.c.176128.1,176128,176128,"[[2,4,0,-4,-1,1],[]]"
176128.d.176128.1,176128,176128,"[[-2,4,0,-4,1,1],[]]"
176128.e.176128.1,176128,176128,"[[2,0,4,1,2,1],[]]"
176128.f.176128.1,176128,176128,"[[-2,0,-4,1,-2,1],[]]"
176128.g.176128.1,176128,176128,"[[-2,0,4,0,-3,1],[]]"
176128.h.176128.1,176128,176128,"[[2,-1,0,4,-4,1],[]]"
176128.i.176128.1,176128,176128,"[[0,-1,-2,0,0,1],[]]"
176128.j.176128.1,176128,176128,"[[2,0,-4,0,3,1],[]]"
17664.h.847872.1,17664,847872,"[[0,4,-1,-3,4,3],[]]"
178176.d.356352.1,178176,356352,"[[-1,0,0,3,2,2],[]]"
17920.a.143360.1,17920,143360,"[[0,2,12,21,9,1],[]]"
17920.b.286720.1,17920,286720,"[[0,1,0,-1,2,4],[1,0,1]]"
181248.a.724992.1,181248,724992,"[[-1,-1,-3,-1,-1,1],[]]"
181248.b.724992.1,181248,724992,"[[-1,3,-3,3,-1,1],[]]"
181248.c.724992.1,181248,724992,"[[1,1,-1,3,-1,1],[]]"
181248.d.724992.1,181248,724992,"[[2,-3,2,1,-2,1],[]]"
181248.e.724992.1,181248,724992,"[[1,-1,3,-1,1,1],[]]"
181248.f.724992.1,181248,724992,"[[1,3,3,3,1,1],[]]"
181248.g.724992.1,181248,724992,"[[-2,-3,-2,1,2,1],[]]"
181248.h.724992.1,181248,724992,"[[-1,1,2,5,3,2],[]]"
181248.i.724992.1,181248,724992,"[[-1,1,1,3,1,1],[]]"
181248.j.724992.1,181248,724992,"[[1,1,-2,5,-3,2],[]]"
18176.b.581632.1,18176,581632,"[[4,-4,3],[0,0,0,1]]"
18176.c.581632.1,18176,581632,"[[1,-1,0,-1,-2],[0,1,0,1]]"
18304.a.585728.1,18304,585728,"[[12,16,0,-7,-1,1],[]]"
18304.b.585728.1,18304,585728,"[[-12,-16,-6,-1,1,1],[]]"
18432.a.110592.1,18432,110592,"[[-1,0,-1,1,0,1],[]]"
18432.b.221184.1,18432,221184,"[[0,2,2,3,1,1],[]]"
18432.c.589824.1,18432,589824,"[[0,1,2,2,-2,1],[]]"
184320.a.552960.1,184320,552960,"[[4,-7,0,7,0,-7,4],[]]"
184320.b.552960.1,184320,552960,"[[-4,-7,0,7,0,-7,-4],[]]"
