source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 44205, 60270, 63150, 61698 ] | perm=[ 1, 2, 4, 3 ] | eps=[-1,1,-1] | full=false | rho=-421/574 sigma=-421/176 tau=287/88 | intermediate=177241/30976 | F=[-2008125/1270016,649252725631875/420322770678272,-355922083125/39340015616,3663106875/119939072] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 44205, 60270, 63150, 61698 ] | perm=[ 1, 2, 4, 3 ] | eps=[1,-1,-1] | full=false | rho=421/574 sigma=421/176 tau=287/88 | intermediate=177241/30976 | F=[222755625/8890112,6672361624475625/420322770678272,39481429730625/275380109312,37645700625/119939072] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 44205, 60270, 63150, 61698 ] | perm=[ 1, 2, 4, 3 ] | eps=[1,1,1] | full=false | rho=421/574 sigma=-421/176 tau=-287/88 | intermediate=177241/30976 | F=[6930175/1270016,2240615005468225/420322770678272,1228311147175/39340015616,12641629225/119939072] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 60270, 44205, 61698, 63150 ] | perm=[ 2, 1, 3, 4 ] | eps=[-1,-1,1] | full=false | rho=-574/421 sigma=88/287 tau=-176/421 | intermediate=30976/177241 | F=[-2008125/7266881,29304855000/31414372081,56734199280000/1202518533667801,-62203680000/1287989255321] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 60270, 44205, 61698, 63150 ] | perm=[ 2, 1, 3, 4 ] | eps=[-1,1,-1] | full=false | rho=-574/421 sigma=-88/287 tau=176/421 | intermediate=30976/177241 | F=[-18176859/50868167,24575113368/31414372081,47577419480448/1202518533667801,-563046384384/9015924787247] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 60270, 44205, 61698, 63150 ] | perm=[ 2, 1, 3, 4 ] | eps=[1,-1,-1] | full=false | rho=574/421 sigma=88/287 tau=176/421 | intermediate=30976/177241 | F=[222755625/50868167,301165605000/31414372081,583056611280000/1202518533667801,6900078240000/9015924787247] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 60270, 44205, 61698, 63150 ] | perm=[ 2, 1, 3, 4 ] | eps=[1,1,1] | full=false | rho=574/421 sigma=-88/287 tau=-176/421 | intermediate=30976/177241 | F=[6930175/7266881,101133033800/31414372081,195793553436800/1202518533667801,214669100800/1287989255321] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 60270, 44205, 63150, 61698 ] | perm=[ 2, 1, 4, 3 ] | eps=[-1,-1,1] | full=false | rho=-574/421 sigma=176/421 tau=-88/287 | intermediate=30976/177241 | F=[-18176859/50868167,24575113368/31414372081,-563046384384/9015924787247,47577419480448/1202518533667801] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 60270, 44205, 63150, 61698 ] | perm=[ 2, 1, 4, 3 ] | eps=[-1,1,-1] | full=false | rho=-574/421 sigma=-176/421 tau=88/287 | intermediate=30976/177241 | F=[-2008125/7266881,29304855000/31414372081,-62203680000/1287989255321,56734199280000/1202518533667801] | q=[0,0,0,0]
source=[ 44205, 60270, 61698, 63150 ] | ordered=[ 60270, 44205, 63150, 61698 ] | perm=[ 2, 1, 4, 3 ] | eps=[1,-1,-1] | full=false | rho=574/421 sigma=176/421 tau=88/287 | intermediate=30976/177241 | F=[222755625/50868167,301165605000/31414372081,6900078240000/9015924787247,583056611280000/1202518533667801] | q=[0,0,0,0]
