CONTACT6_M612_TB_RECOVERY_HEIGHT_SIEVE H=100000 modulus=111469 masks=23
SURVIVOR branch=1 n=80529 d=46904
SURVIVOR branch=1 n=811 d=47027
SURVIVOR branch=1 n=24660 d=48391
SURVIVOR branch=1 n=4514 d=48509
SURVIVOR branch=1 n=56763 d=48791
SURVIVOR branch=1 n=54363 d=49487
SURVIVOR branch=1 n=67547 d=49640
SURVIVOR branch=1 n=51271 d=50173
SURVIVOR branch=1 n=4244 d=50235
SURVIVOR branch=1 n=46057 d=50439
SURVIVOR branch=1 n=53454 d=50611
SURVIVOR branch=1 n=91203 d=51034
SURVIVOR branch=1 n=32644 d=51353
SURVIVOR branch=1 n=84659 d=51511
SURVIVOR branch=1 n=85174 d=51561
SURVIVOR branch=1 n=47596 d=51591
SURVIVOR branch=1 n=54735 d=51956
SURVIVOR branch=1 n=79560 d=52159
SURVIVOR branch=1 n=86743 d=52615
SURVIVOR branch=1 n=76995 d=52889
SURVIVOR branch=1 n=98009 d=53690
SURVIVOR branch=1 n=60507 d=54455
SURVIVOR branch=1 n=58353 d=54505
SURVIVOR branch=1 n=3871 d=54727
SURVIVOR branch=1 n=96019 d=55183
SURVIVOR branch=1 n=4879 d=55614
SURVIVOR branch=1 n=23821 d=55705
SURVIVOR branch=1 n=35242 d=56281
SURVIVOR branch=1 n=32297 d=56286
SURVIVOR branch=1 n=8787 d=56503
SURVIVOR branch=1 n=955 d=56592
SURVIVOR branch=1 n=63590 d=57341
SURVIVOR branch=1 n=6205 d=58079
SURVIVOR branch=1 n=81511 d=58116
SURVIVOR branch=1 n=29585 d=58327
SURVIVOR branch=1 n=60755 d=58381
SURVIVOR branch=1 n=11049 d=58685
SURVIVOR branch=1 n=20685 d=59153
SURVIVOR branch=1 n=74327 d=59535
SURVIVOR branch=1 n=47833 d=60414
SURVIVOR branch=1 n=6059 d=60894
SURVIVOR branch=1 n=34229 d=60928
SURVIVOR branch=1 n=25489 d=61113
SURVIVOR branch=1 n=80065 d=61399
SURVIVOR branch=1 n=10551 d=61427
SURVIVOR branch=1 n=21629 d=62123
SURVIVOR branch=1 n=64311 d=62698
SURVIVOR branch=1 n=75589 d=63468
SURVIVOR branch=1 n=16102 d=63475
SURVIVOR branch=1 n=22239 d=64922
SURVIVOR branch=1 n=73773 d=65032
SURVIVOR branch=1 n=44013 d=65179
SURVIVOR branch=1 n=55637 d=65902
SURVIVOR branch=1 n=41618 d=66691
SURVIVOR branch=1 n=19958 d=67811
SURVIVOR branch=1 n=43871 d=67909
SURVIVOR branch=1 n=41329 d=68852
SURVIVOR branch=1 n=21165 d=69527
SURVIVOR branch=1 n=53423 d=69680
SURVIVOR branch=1 n=88594 d=70373
SURVIVOR branch=1 n=23621 d=70553
SURVIVOR branch=1 n=30131 d=70781
SURVIVOR branch=1 n=64642 d=71573
SURVIVOR branch=1 n=39813 d=71858
SURVIVOR branch=1 n=35719 d=71966
SURVIVOR branch=1 n=61739 d=72348
SURVIVOR branch=1 n=95509 d=72438
SURVIVOR branch=1 n=41514 d=72509
SURVIVOR branch=1 n=48078 d=72881
SURVIVOR branch=1 n=59771 d=73038
SURVIVOR branch=1 n=50049 d=73196
SURVIVOR branch=1 n=35904 d=73273
SURVIVOR branch=1 n=33553 d=73810
SURVIVOR branch=1 n=82739 d=73901
SURVIVOR branch=1 n=70749 d=74222
SURVIVOR branch=1 n=78453 d=74326
SURVIVOR branch=1 n=4814 d=74427
SURVIVOR branch=1 n=87606 d=75101
SURVIVOR branch=1 n=23091 d=75518
SURVIVOR branch=1 n=94537 d=75525
SURVIVOR branch=1 n=64158 d=75613
SURVIVOR branch=1 n=876 d=75727
SURVIVOR branch=1 n=84334 d=75919
SURVIVOR branch=1 n=503 d=76066
SURVIVOR branch=1 n=84609 d=77024
SURVIVOR branch=1 n=32391 d=77182
SURVIVOR branch=1 n=80811 d=77207
SURVIVOR branch=1 n=1527 d=77213
SURVIVOR branch=1 n=81740 d=77221
SURVIVOR branch=1 n=88737 d=77368
SURVIVOR branch=1 n=12469 d=77605
