101	62	27	98	93	29	21	14	56	15	5063	0
101	64	6	3	71	72	0	54	59	94	9893	0
101	100	59	14	1	40	68	55	37	78	2451	0
101	86	59	65	64	72	34	50	26	23	5603	0
101	68	1	51	26	83	88	80	1	7	11003	0
101	82	68	75	36	96	89	11	88	25	5151	0
101	2	56	38	78	14	20	10	79	85	1581	1
101	85	33	67	42	74	81	37	57	73	9376	0
101	97	14	30	66	48	2	23	18	61	10903	0
101	80	97	11	88	44	63	13	26	56	5906	0
101	84	6	72	83	67	96	25	29	3	12347	0
101	70	3	96	90	77	92	94	53	48	4832	0
101	1	40	17	6	53	20	89	8	7	8858	0
101	96	50	37	43	2	19	9	65	19	119	0
101	12	68	10	27	6	20	95	33	51	11228	0
101	60	66	99	5	3	56	2	84	23	5635	0
101	100	20	4	83	32	80	53	67	31	2912	0
101	15	45	54	100	44	13	79	2	49	10279	0
101	2	87	50	57	98	81	33	83	0	10591	0
101	9	22	42	89	100	0	17	20	10	3643	0
101	38	77	98	28	93	31	46	59	29	10342	0
101	63	54	13	33	95	90	89	42	5	8789	0
101	67	26	92	0	53	67	71	0	53	3627	1
101	6	75	39	67	27	16	12	76	56	5389	0
101	87	27	15	28	49	80	26	46	97	558	1
101	49	49	49	76	100	18	18	12	95	9701	0
101	78	94	88	12	83	2	91	49	56	5171	0
101	47	43	27	40	80	20	96	60	18	11744	0
101	34	76	96	60	77	16	14	84	49	736	0
101	75	53	87	46	20	70	64	38	45	2676	0
101	95	82	47	96	84	85	67	84	84	10319	0
101	0	74	6	75	99	93	38	15	89	4402	1
101	43	0	25	12	2	52	70	8	32	2548	0
101	85	45	85	23	61	86	90	19	57	4934	0
101	11	11	29	22	2	13	20	52	78	9716	0
101	1	83	29	33	18	9	37	70	64	70	0
101	27	86	54	10	6	47	58	33	83	9188	0
101	76	57	85	38	79	92	28	69	100	790	0
101	34	14	85	74	45	20	99	75	23	917	0
101	35	10	19	57	69	34	86	38	31	12031	0
101	59	38	41	3	2	63	42	3	35	9697	0
101	83	38	53	66	49	27	78	29	38	2788	0
101	98	74	80	7	17	32	18	14	86	10564	0
101	2	29	16	27	64	4	7	5	74	434	1
101	31	59	14	1	2	55	12	14	0	5559	0
101	79	70	100	56	59	63	77	100	4	5189	0
101	25	17	16	65	88	23	35	80	8	10903	0
101	23	32	67	45	25	86	6	48	63	808	0
101	3	93	81	53	91	71	38	84	86	208	0
101	11	32	81	14	14	82	75	34	92	10768	0
101	21	93	3	24	57	28	22	56	76	5262	0
101	86	59	80	48	30	33	23	16	92	9071	0
101	42	22	67	71	51	52	56	17	87	2470	0
