WSPLIT+3TORS [2,24] search RH=26 TH=26 BH=26 Part=1/3
PROGRESS tested=27400000 p=358702 rank2=321466 pre3=478 tors=478 hits24=0 hits224=0
PROGRESS tested=27600000 p=360248 rank2=322802 pre3=480 tors=480 hits24=0 hits224=0
PROGRESS tested=27800000 p=363336 rank2=325417 pre3=482 tors=482 hits24=0 hits224=0
PROGRESS tested=28000000 p=366554 rank2=328432 pre3=486 tors=486 hits24=0 hits224=0
PROGRESS tested=28200000 p=367426 rank2=329214 pre3=486 tors=486 hits24=0 hits224=0
PROGRESS tested=28400000 p=369080 rank2=330506 pre3=488 tors=488 hits24=0 hits224=0
PROGRESS tested=28600000 p=371060 rank2=332098 pre3=490 tors=490 hits24=0 hits224=0
PROGRESS tested=28800000 p=374852 rank2=335774 pre3=494 tors=494 hits24=0 hits224=0
PROGRESS tested=29000000 p=377236 rank2=337992 pre3=500 tors=500 hits24=0 hits224=0
PROGRESS tested=29200000 p=382108 rank2=342391 pre3=505 tors=505 hits24=0 hits224=0
PROGRESS tested=29400000 p=385262 rank2=345284 pre3=510 tors=510 hits24=0 hits224=0
PROGRESS tested=29600000 p=388688 rank2=348626 pre3=512 tors=512 hits24=0 hits224=0
PROGRESS tested=29800000 p=391408 rank2=351037 pre3=518 tors=518 hits24=0 hits224=0
PROGRESS tested=30000000 p=394992 rank2=354188 pre3=524 tors=524 hits24=0 hits224=0
PROGRESS tested=30200000 p=398552 rank2=357616 pre3=526 tors=526 hits24=0 hits224=0
PROGRESS tested=30400000 p=400246 rank2=359181 pre3=530 tors=530 hits24=0 hits224=0
PROGRESS tested=30600000 p=404002 rank2=362502 pre3=532 tors=532 hits24=0 hits224=0
PROGRESS tested=30800000 p=406958 rank2=365140 pre3=536 tors=536 hits24=0 hits224=0
PROGRESS tested=31000000 p=410158 rank2=368248 pre3=536 tors=536 hits24=0 hits224=0
PROGRESS tested=31200000 p=412160 rank2=369991 pre3=540 tors=540 hits24=0 hits224=0
PROGRESS tested=31400000 p=415244 rank2=372612 pre3=546 tors=546 hits24=0 hits224=0
PROGRESS tested=31600000 p=418930 rank2=376127 pre3=550 tors=550 hits24=0 hits224=0
PROGRESS tested=31800000 p=420478 rank2=377566 pre3=558 tors=558 hits24=0 hits224=0
PROGRESS tested=32000000 p=423086 rank2=379772 pre3=564 tors=564 hits24=0 hits224=0
PROGRESS tested=32200000 p=425822 rank2=382152 pre3=578 tors=578 hits24=0 hits224=0
PROGRESS tested=32400000 p=429164 rank2=385393 pre3=582 tors=582 hits24=0 hits224=0
PROGRESS tested=32600000 p=431066 rank2=387091 pre3=582 tors=582 hits24=0 hits224=0
PROGRESS tested=32800000 p=434074 rank2=389627 pre3=584 tors=584 hits24=0 hits224=0
PROGRESS tested=33000000 p=435720 rank2=391062 pre3=588 tors=588 hits24=0 hits224=0
PROGRESS tested=33200000 p=438036 rank2=393290 pre3=594 tors=594 hits24=0 hits224=0
PROGRESS tested=33400000 p=439322 rank2=394220 pre3=598 tors=598 hits24=0 hits224=0
PROGRESS tested=33600000 p=441228 rank2=395728 pre3=602 tors=602 hits24=0 hits224=0
PROGRESS tested=33800000 p=443852 rank2=398241 pre3=606 tors=606 hits24=0 hits224=0
PROGRESS tested=34000000 p=444872 rank2=399102 pre3=606 tors=606 hits24=0 hits224=0
PROGRESS tested=34200000 p=446820 rank2=400595 pre3=606 tors=606 hits24=0 hits224=0
PROGRESS tested=34400000 p=448714 rank2=402222 pre3=606 tors=606 hits24=0 hits224=0
PROGRESS tested=34600000 p=452090 rank2=405506 pre3=610 tors=610 hits24=0 hits224=0
PROGRESS tested=34800000 p=454558 rank2=407668 pre3=610 tors=610 hits24=0 hits224=0
PROGRESS tested=35000000 p=457576 rank2=410247 pre3=614 tors=614 hits24=0 hits224=0
PROGRESS tested=35200000 p=460892 rank2=413424 pre3=618 tors=618 hits24=0 hits224=0
PROGRESS tested=35400000 p=462266 rank2=414674 pre3=618 tors=618 hits24=0 hits224=0
PROGRESS tested=35600000 p=465208 rank2=417187 pre3=628 tors=628 hits24=0 hits224=0
PROGRESS tested=35800000 p=467638 rank2=419296 pre3=636 tors=636 hits24=0 hits224=0
PROGRESS tested=36000000 p=470756 rank2=422321 pre3=644 tors=644 hits24=0 hits224=0
PROGRESS tested=36200000 p=473054 rank2=424369 pre3=644 tors=644 hits24=0 hits224=0
PROGRESS tested=36400000 p=476576 rank2=427418 pre3=648 tors=648 hits24=0 hits224=0
PROGRESS tested=36600000 p=480328 rank2=430994 pre3=652 tors=652 hits24=0 hits224=0
PROGRESS tested=36800000 p=481864 rank2=432428 pre3=654 tors=654 hits24=0 hits224=0
PROGRESS tested=37000000 p=484404 rank2=434578 pre3=658 tors=658 hits24=0 hits224=0
