27 79 54 -113
27 103 140 43
27 129 104 -74
27 144 44 -130
26 -149 82 -16
26 -129 45 47
26 -94 85 42
26 -87 127 141
26 -83 146 -73
26 -74 42 -56
26 -74 127 39
26 -54 118 -96
26 10 92 137
26 11 32 -41
26 32 112 -138
26 35 90 14
26 38 85 -129
26 81 29 3
26 94 87 20
26 101 80 -78
26 126 50 147
26 126 95 122
26 126 102 -61
26 127 105 7
26 129 120 137
26 146 110 -83
28 -62 80 -117
28 -61 90 -115
28 -33 139 60
28 -14 48 -7
28 -1 129 -24
28 14 99 111
28 44 64 -129
28 70 107 65
28 76 132 134
37 -118 66 93
37 -117 85 33
37 -93 150 117
37 -47 90 -82
37 -41 104 -88
37 -41 139 52
37 19 94 -58
37 48 65 -87
37 52 102 -88
37 78 150 -92
37 79 54 -48
37 94 88 97
37 108 90 53
37 109 69 -83
42 -51 69 -79
42 -6 125 -135
42 21 51 -9
42 48 150 88
42 58 111 -115
42 58 120 -87
42 63 100 -57
42 78 132 -138
42 104 144 -44
42 144 74 -73
42 146 48 -12
32 -72 60 69
32 -51 139 7
32 -36 145 -66
32 -2 65 143
32 62 134 -11
32 79 146 31
32 93 65 -82
32 125 134 118
40 -53 129 27
40 -52 97 -92
40 -32 101 89
40 -25 150 47
40 -13 139 -149
40 19 84 -42
40 23 122 103
40 29 133 -25
40 66 62 -49
40 87 94 89
40 87 134 137
40 88 122 -127
40 108 43 -24
40 136 109 45
40 138 108 -32
35 -143 136 101
35 -103 56 -26
35 -97 44 18
35 -1 49 -116
35 65 139 -129
35 70 94 27
35 79 134 130
35 87 146 21
35 98 73 -57
33 -117 65 -27
33 -88 60 -109
33 -41 111 -128
33 -16 74 -114
33 14 72 7
33 33 90 -147
33 67 70 -68
33 69 46 -59
33 86 146 -44
33 94 66 -9
33 122 87 55
33 129 101 -43
33 138 143 -129
33 141 139 -56
34 -73 37 52
34 -64 43 24
34 -44 105 27
34 -39 113 76
34 -24 37 24
34 -9 40 -138
34 -8 87 104
34 -8 117 -73
34 18 65 -46
34 38 113 -113
34 44 37 143
34 51 93 -121
34 90 38 -134
34 91 48 -41
34 94 99 111
34 136 80 -113
38 -141 61 122
38 -137 85 -42
38 -135 75 -131
38 -113 42 125
38 -86 69 -84
38 -82 140 128
38 -40 143 36
38 -24 109 132
38 19 121 96
38 27 97 -137
38 27 143 -121
38 58 45 148
38 61 124 59
38 61 143 -36
38 79 41 -138
38 84 64 -84
38 89 121 61
38 96 75 59
38 104 104 -39
38 109 144 11
38 139 146 -88
38 150 104 23
36 -149 53 64
36 -145 125 52
36 -138 78 19
36 -123 144 13
36 -122 138 -130
36 -119 92 69
36 -119 105 -123
36 -108 131 -46
36 -103 48 59
36 -15 146 -130
36 -10 96 25
36 -6 135 99
36 -5 105 -9
36 16 70 142
36 41 127 -96
36 46 40 127
36 52 48 34
36 81 47 -11
36 91 143 49
36 109 75 -4
36 125 132 80
36 147 63 -131
43 -141 81 97
43 -108 75 -116
43 -79 98 -11
43 -79 140 -86
43 -36 81 -99
43 -31 46 81
43 -29 95 -71
43 -19 56 75
43 -17 126 149
43 9 64 86
43 9 81 137
43 14 146 141
43 40 137 -118
43 44 66 -63
43 83 55 3
41 -114 132 99
41 -104 119 -127
41 -94 100 -123
41 -88 80 -78
41 -87 102 -110
41 -48 129 -12
41 -9 112 84
41 51 103 -21
41 54 145 147
41 88 135 -81
41 100 102 77
41 115 78 146
41 115 101 -54
39 -142 137 -57
39 -126 129 2
39 -114 58 -18
39 -113 115 -108
39 -108 80 -48
39 -93 107 9
39 -88 132 -41
39 -72 125 -112
39 -72 146 -72
39 -64 135 -83
39 -43 102 -26
39 -30 74 -99
39 -9 88 -106
39 -8 141 -67
39 16 143 64
39 48 71 80
39 66 150 47
39 102 60 -123
39 118 144 44
31 -125 52 57
31 -99 83 76
31 -81 130 -149
31 -78 40 87
31 -72 82 79
31 -59 120 -23
31 -43 55 -43
31 -43 100 -90
31 -18 38 79
31 -11 75 79
31 -9 128 -16
31 10 150 119
31 27 76 104
31 32 118 74
31 35 117 -34
31 56 63 -21
31 73 71 107
31 90 102 18
31 96 143 -1
31 117 80 -113
31 123 146 75
31 124 122 -148
31 125 90 -18
31 137 95 -63
31 146 40 -123
44 -149 102 79
44 -123 109 -92
44 -118 85 -38
44 -83 145 12
44 -79 143 -46
44 -37 88 -12
44 6 118 -56
44 15 133 146
44 67 142 -11
44 116 128 -56
30 -143 129 -38
30 -130 97 -101
30 -52 33 103
30 -45 60 -8
30 -27 42 -97
30 -20 139 139
30 -13 124 21
30 -8 76 -138
30 32 105 -5
30 38 88 83
30 72 116 -4
30 78 53 48
30 102 136 -24
30 113 88 118
30 123 102 103
30 141 107 -93
47 -118 111 -127
47 -112 96 15
47 -92 150 3
47 -38 132 -44
47 -27 149 -120
47 -20 101 75
47 -16 69 21
47 51 115 -135
47 103 81 68
47 113 140 58
51 -109 88 79
51 -108 134 -25
51 -93 55 -103
51 -39 67 12
51 9 53 -142
51 15 81 101
51 92 75 117
51 136 90 -108
50 -133 121 37
50 -128 94 61
50 -117 52 88
50 -112 92 118
50 -102 81 -57
50 -92 133 48
50 -82 109 -50
50 -60 95 34
50 -48 121 -99
50 61 109 -102
50 70 99 145
50 90 88 -22
50 128 137 -44
50 142 121 -124
49 -99 137 -116
49 -68 125 32
49 -7 71 -24
49 17 70 147
49 62 130 -13
49 76 150 -133
49 131 95 -53
49 146 122 -116
46 -149 95 -123
46 -122 146 21
46 -93 145 -58
46 -90 102 137
46 -79 130 -43
46 -64 50 -123
46 -62 106 65
46 -55 83 12
46 -29 74 -37
46 -29 79 -25
46 8 47 -24
46 20 111 30
46 31 122 -131
46 39 89 -41
46 55 50 69
46 62 50 37
46 76 58 -4
46 81 139 65
46 96 130 -43
46 112 58 -71
46 116 83 19
46 126 48 14
48 -131 144 -99
48 -109 120 -8
48 -101 66 81
48 -46 54 1
48 -22 120 108
48 -16 51 -54
48 3 115 -85
48 26 105 -25
48 33 71 105
48 46 149 150
48 72 79 -108
48 74 97 7
48 83 80 83
48 104 71 -109
48 104 141 17
48 122 80 83
45 -141 48 -144
45 -141 139 -144
45 -135 86 110
45 -122 112 58
45 -106 132 -57
45 -88 54 101
45 -88 141 -29
45 -38 59 -29
45 -37 53 -89
45 -30 66 -57
45 -30 75 -61
45 19 96 23
45 19 145 72
45 62 69 -8
45 62 129 -149
45 127 84 -148
45 132 104 -134
53 -140 139 -76
53 -124 58 -120
53 -106 114 -39
53 -103 87 -130
53 -103 123 -42
53 -61 69 56
53 -44 96 -128
53 9 84 -94
53 9 139 -19
53 19 116 -93
53 19 149 -104
53 20 144 -72
53 54 144 76
53 79 94 -39
53 109 131 27
53 119 81 116
53 149 131 46
54 -149 111 63
54 -144 102 9
54 -138 110 -118
54 -138 122 -128
54 -82 115 142
54 -78 120 37
54 -10 104 83
54 -9 125 12
54 1 123 -36
54 11 70 -118
54 18 116 124
54 61 102 -66
54 66 115 -8
54 80 73 -71
54 109 97 -27
54 116 77 4
54 141 57 -91
54 141 127 94
54 146 117 -141
52 -134 64 -33
52 -134 103 136
52 -127 75 -102
52 -107 145 143
52 -106 129 47
52 -98 88 -124
52 -51 109 86
52 -44 68 31
52 -36 69 -123
52 -33 99 31
52 -26 79 86
52 -16 129 104
52 -8 82 129
52 47 54 -40
52 111 96 101
52 114 89 -39
52 132 55 66
29 -140 48 -12
29 -114 86 40
29 -114 120 125
29 -97 71 37
29 -84 68 109
29 -54 55 112
29 -46 35 -147
29 -35 142 12
29 -8 81 -85
29 26 53 -106
29 42 77 54
29 47 35 72
29 52 137 -1
29 56 133 31
29 77 125 -43
29 136 117 32
55 -126 143 134
55 -106 71 -81
55 -78 120 115
55 -77 128 143
55 -53 106 27
55 -2 127 143
55 7 76 62
55 67 86 136
55 86 72 47
55 128 132 -117
55 150 129 90
57 -106 139 -74
57 -66 124 71
57 -64 109 -106
57 3 97 13
57 9 124 37
57 17 62 20
57 32 111 -70
57 55 146 -95
57 67 63 2
57 87 62 83
57 93 64 28
57 104 102 62
57 117 145 134
57 142 93 132
57 144 89 -39
56 -131 57 93
56 -120 91 72
56 -103 125 -143
56 -92 60 -83
56 -12 99 -17
56 1 148 149
56 13 148 18
56 77 83 -76
56 111 100 -21
58 -142 150 23
58 -131 67 117
58 -122 150 98
58 -74 130 -65
58 -41 106 1
58 -11 74 145
58 10 74 118
58 28 130 -82
58 47 74 123
58 64 91 -114
58 99 111 -19
60 -128 84 56
60 -113 136 -89
60 -40 96 -15
60 -28 61 -3
60 -27 67 -47
60 -22 78 -127
60 47 144 -64
60 48 128 78
60 67 99 116
60 123 103 -82
61 -116 122 26
61 -94 98 -141
61 -84 145 7
61 -60 80 69
61 -12 109 100
61 31 107 -41
61 131 147 104
61 135 62 117
61 137 118 109
63 -126 86 117
63 -16 139 106
63 37 143 3
63 49 69 -109
63 76 117 5
63 86 71 -115
63 99 139 -114
63 139 121 132
63 150 82 46
68 -141 139 86
68 -81 143 -8
68 -25 87 96
68 8 125 108
68 39 121 31
68 82 129 135
68 118 95 -32
65 -118 71 141
65 -78 91 87
65 -29 79 -6
65 -6 87 75
65 10 102 -78
65 58 137 -2
65 87 69 -73
65 87 139 -73
65 88 88 143
65 137 121 127
67 -100 114 -102
67 -86 79 72
