family	family_name	m	n	a	b	c	d	tuple_height	curve_key	bad11	bad13
2	filip2	1358	321	742612508195353950	488363593923285921	-2066036637220630158	-8740429138148335684	8740429138148335684	238498999869668109344205197916818241,551473337328194637552576365780602500,4268507386337929748358874958619104964,76395101518992458113299524259147747856	1	1
3	adam	-1010	321	153909295410	94494676419	-935491885900	-574357791810	935491885900	8929243871531514663561,23688071213602647068100,329886873012859303076100,875145068584738618810000	1	1
2	filip2	-1687	323	5885667367028421581	-503456515223609809	-2629508177034767021	13733685122779108249	13733685122779108249	253468462721100855367912616681016481,6914313253092703661020070179749214441,34641080355303272632621302240266539561,188614107051644209620044552419659846001	1	1
2	filip2	1687	323	2629508177034767021	1126894226170824049	-5885667367028421581	-30740312223458040889	30740312223458040889	1269890596977140344989263003716754401,6914313253092703661020070179749214441,34641080355303272632621302240266539561,944966795595683841606730773949995910321	1	1
3	adam	-1748	329	1157982822612	319014694383	-9005373885552	-2480906056468	9005373885552	101770375232278891750689,1340924217464454658502544,6154894861019603204635024,81096758818581925994344704	1	1
3	adam	-1273	333	93641498100	41850617490	-611603849890	-273340338381	611603849890	1751474184294293900100,8768730166412303610000,74714940586239581701161,374059269200269653012100	1	1
3	adam	-1623	335	225494036880	70755169100	-1660755115404	-521109163905	1660755115404	5006293954369594810000,50847560668438800134400,271554760705768154849025,2758107553340553358083216	1	1
1	filip1	-1749	338	6667152618889	-4707827360808	-1127743194864	5835570555672	6667152618889	1271804713562061875978496,22163638459172418614412864,34053883710226014851371584,44450924043558451279594321	1	1
3	adam	-702	341	31196501622	43782470963	-185552040492	-260411469318	260411469318	973221713451448630884,1916904763625938147369,34429559730744807602064,67814133352359655385124	1	1
3	adam	-1915	342	1620512291970	415252727604	-13019605895725	-3336245511570	13019605895725	172434827782561823580816,2626060088425862526480900,11130534113470971003864900,169510137679997179573275625	1	1
3	adam	-1804	349	1332870471900	381555639615	-10194832377840	-2918434964764	10194832377840	145584706122011757348225,1776543694862928689610000,8517262643557049921575696,103934607212254788523065600	1	1
3	adam	-1285	354	394280911290	191220812244	-2519619088525	-1221980559690	2519619088525	36565399035255100315536,155457437007672849464100,1493236488260285652896100,6348480351259551786675625	1	1
3	adam	-1889	355	394503661955	108453838350	-3070804276254	-844201315980	3070804276254	11762235052847930722500,155633139295904914422025,712675861902363803360400,9429838903059852748272516	1	1
1	filip1	-1357	364	2190391120009	-1948227725808	-714153969984	2662381695792	2662381695792	510015892843907972960256,3795591271607011629252864,4797813258614281440160081,7088276294088285630507264	1	1
1	filip1	-1173	364	1169540591209	-1117780246128	-502932026688	1620712272816	1620712272816	252940623468499144249344,1249432678633972258992384,1367825194485497248081681,2626708271256404412569856	1	1
