Z35 candidate u values: 6
Z45 candidate u values: 4
JOBS 154
Z3xZ12 t=2 m=1 u=-8/7 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 910 [ 6 ] | MODEL 1736*x^6 + 11895289*x^4 + 2726705254*x^2 + 24125692185
Z2xZ24 t=1/2 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL -6895612276764120000*X^6 + 218160433416231228529*X^4 + 230052775123591291972*X^2 + 752070565001871360
Z2xZ24 t=1/2 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 1412131573125*X^6 + 47518560070504*X^4 + 45710371256272*X^2 + 154014255360
Z2xZ24 t=1/2 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 141553048000*X^6 + 4777272934489*X^4 + 4549780419556*X^2 - 15438495744
Z2xZ24 t=1/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL -3048827151352320000*X^6 + 100098605620283078116*X^4 + 107101057271781072997*X^2 - 828425801797841520
Z2xZ24 t=1/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 5594108349473280000*X^6 - 10130436565219985756*X^4 + 3021152602809359893*X^2 + 1520028346868020080
Z2xZ24 t=1/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 92395680000*X^6 - 214383209264*X^4 + 147157270792*X^2 - 25105708355
Z2xZ24 t=1/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL -5933445575855616000*X^6 + 193155974037488262724*X^4 + 211413191437845023389*X^2 + 1612232889759522576
Z2xZ24 t=1/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 45593184000*X^6 + 1579473360976*X^4 + 1577002096936*X^2 + 12388557349
Z2xZ24 t=1/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL 857730545118720000*X^6 + 29912524966034706436*X^4 + 29195498428456727437*X^2 - 233062118412091920
Z2xZ24 t=2/3 u=1 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 30030 [ 2, 6 ] | F 46410 [ 2, 8 ] | MODEL -81096964727562907200*X^6 + 2513786405920483583329*X^4 + 2573903680278737755300*X^2 - 2567109216672000000
