prime	torsion_coset	m	n	k	ord_g1	ord_g2	ord_g3	state	t
17	1	8	2	5	12	6	6	3	inf
17	1	8	3	0	12	6	6	3	inf
17	1	8	3	1	12	6	6	3	1
17	1	8	3	2	12	6	6	3	inf
17	1	8	3	3	12	6	6	3	inf
17	1	8	3	4	12	6	6	3	inf
17	1	8	3	5	12	6	6	3	inf
17	1	8	4	0	12	6	6	3	1
17	1	8	4	1	12	6	6	3	inf
17	1	8	4	2	12	6	6	3	inf
17	1	8	4	3	12	6	6	3	inf
17	1	8	4	4	12	6	6	3	inf
17	1	8	4	5	12	6	6	3	inf
17	1	8	5	0	12	6	6	3	inf
17	1	8	5	1	12	6	6	3	inf
17	1	8	5	2	12	6	6	3	inf
17	1	8	5	3	12	6	6	3	inf
17	1	8	5	4	12	6	6	3	inf
17	1	8	5	5	12	6	6	3	1
17	1	9	0	0	12	6	6	3	inf
17	1	9	0	1	12	6	6	3	inf
17	1	9	0	2	12	6	6	3	inf
17	1	9	0	3	12	6	6	3	inf
17	1	9	0	4	12	6	6	3	inf
17	1	9	0	5	12	6	6	3	inf
17	1	9	1	0	12	6	6	3	inf
17	1	9	1	1	12	6	6	3	inf
17	1	9	1	2	12	6	6	3	inf
17	1	9	1	3	12	6	6	3	inf
17	1	9	1	4	12	6	6	3	inf
17	1	9	1	5	12	6	6	3	inf
17	1	9	2	0	12	6	6	3	inf
17	1	9	2	1	12	6	6	3	inf
17	1	9	2	2	12	6	6	3	inf
17	1	9	2	3	12	6	6	3	inf
17	1	9	2	4	12	6	6	3	inf
17	1	9	2	5	12	6	6	3	inf
17	1	9	3	0	12	6	6	3	inf
17	1	9	3	1	12	6	6	3	inf
17	1	9	3	2	12	6	6	3	inf
17	1	9	3	3	12	6	6	3	inf
17	1	9	3	4	12	6	6	3	inf
17	1	9	3	5	12	6	6	3	inf
17	1	9	4	0	12	6	6	3	inf
17	1	9	4	1	12	6	6	3	inf
17	1	9	4	2	12	6	6	3	inf
17	1	9	4	3	12	6	6	3	inf
17	1	9	4	4	12	6	6	3	inf
17	1	9	4	5	12	6	6	3	inf
17	1	9	5	0	12	6	6	3	inf
17	1	9	5	1	12	6	6	3	inf
17	1	9	5	2	12	6	6	3	inf
17	1	9	5	3	12	6	6	3	inf
17	1	9	5	4	12	6	6	3	inf
17	1	9	5	5	12	6	6	3	inf
17	1	10	0	0	12	6	6	3	inf
17	1	10	0	1	12	6	6	3	inf
17	1	10	0	2	12	6	6	3	inf
17	1	10	0	3	12	6	6	3	inf
17	1	10	0	4	12	6	6	3	inf
17	1	10	0	5	12	6	6	3	1
17	1	10	1	0	12	6	6	3	inf
17	1	10	1	1	12	6	6	3	inf
17	1	10	1	2	12	6	6	3	inf
17	1	10	1	3	12	6	6	3	inf
17	1	10	1	4	12	6	6	3	1
17	1	10	1	5	12	6	6	3	inf
17	1	10	2	0	12	6	6	3	inf
17	1	10	2	1	12	6	6	3	inf
17	1	10	2	2	12	6	6	3	inf
17	1	10	2	3	12	6	6	3	1
17	1	10	2	4	12	6	6	3	inf
17	1	10	2	5	12	6	6	3	inf
17	1	10	3	0	12	6	6	3	inf
17	1	10	3	1	12	6	6	3	inf
17	1	10	3	2	12	6	6	3	1
17	1	10	3	3	12	6	6	3	inf
17	1	10	3	4	12	6	6	3	inf
17	1	10	3	5	12	6	6	3	inf
