u_num	u_den	t_num	t_den	w_num	w_den
-57565	77332	-186445	164902	119010	143893
144409	218448	-203138	241617	-9587	99340
235567	181718	-18809	127576	56740	120663
227708	198399	-104689	208421	-187499	255082
-208768	210803	-38098	254275	-40247	127428
53213	80360	254409	22790	42060	135457
-234523	134643	-243624	86903	113233	116686
-60349	195693	185731	172752	-2757	58385
58247	153217	-206633	219237	-155234	192683
-89321	178278	118861	136817	77629	65564
-82103	173799	219979	90429	-21	8362
-163706	22345	48363	95246	-106280	173419
-55094	82451	-151461	230806	-164755	251851
-192473	151102	-43663	161015	61129	60680
-22823	230415	5501	3034	67026	110897
-16888	192041	17576	11521	-110987	111370
-25843	174640	-210959	134829	-80111	28208
-243299	115545	-71482	224331	23350	206189
42859	134703	17576	11521	-110987	111370
162353	20027	17576	11521	-110987	111370
-59747	57338	17576	11521	-110987	111370
145465	212068	17576	11521	-110987	111370
102606	77365	17576	11521	-110987	111370
22881	118909	53477	189716	-138427	239464
-222100	37311	17576	11521	-110987	111370
-230188	213897	-119483	74978	187859	241617
-125570	243171	123592	62565	-210039	260591
-48296	159143	-151933	239945	78961	148748
-60349	195693	95709	73990	81109	14400
-135778	77203	-150886	211495	-144124	43215
182990	93869	-199183	199629	163857	176321
-60349	195693	-252077	64572	219937	192121
-195344	189789	236262	160691	-62650	109979
-168996	88355	-110859	59512	28755	130462
-159761	10502	-26764	13653	-26561	190286
-36743	225690	243889	143523	-36136	82861
144409	218448	17407	40415	-141605	103286
182990	93869	-12652	257217	-72125	103074
-522	252191	-8020	217967	88683	43177
-40282	232183	56243	60716	153736	78007
222024	187687	-57046	205239	80927	221318
-251372	157853	-211321	145025	84953	65231
149491	71545	-224939	72594	134192	88193
-68531	190189	-18997	18204	54363	183658
171899	206945	-116402	50389	145561	229104
-68968	75809	-207878	176897	162937	74150
-68968	75809	122331	148586	-213113	31968
-40699	62197	-94017	105187	140456	16899
233207	201541	251680	70189	-181103	73677
-206509	260924	-224939	83202	-809	167173
-237647	157379	84886	107461	61210	131279
-206219	130795	-75253	161294	-225186	70735
-206509	260924	67093	95610	-74852	120623
201083	102705	-182713	89096	-210998	209953
133183	175402	-213278	52761	220289	171421
701	73702	-26364	15503	-225889	80524
-221052	87935	7943	219514	-143988	227291
-227136	79957	-194519	146587	18928	124435
-227136	79957	189663	214355	18928	124435
87167	21349	178039	98255	10918	134931
114875	132534	-150699	108458	-90095	74046
-206509	260924	37322	252969	-177622	107607
-144427	199219	-26817	47767	-57340	172389
-144427	199219	47126	249531	-59122	77811
102371	237472	220714	7955	-183805	224714
-229189	86305	199319	258623	238481	179310
-206509	260924	-240509	33142	-171553	34031
72389	24634	188261	123164	-44001	222740
-206509	260924	-40336	29023	159415	113121
-65309	179635	15886	221275	256211	65231
194445	110324	18421	70864	128351	116476
-147842	171011	123703	238750	36401	33152
23403	131017	-17614	61705	-28337	36092
-188007	64508	211312	49815	-229717	60845
-41035	220117	-219333	156989	-198817	219299
-145261	2897	70933	191808	55911	32078
701	73702	-69083	62156	-144809	153092
-40699	62197	4629	172129	-20718	228695
18248	167747	-17151	90938	-255074	23865
-183222	240761	227785	176601	140309	105387
-54607	41241	184011	53464	-87631	11137
-153173	125901	24674	162325	-57976	142797
123895	144953	-252488	249567	-110249	140741
-40699	62197	241138	94987	239467	76409
-40699	62197	143749	187324	-214134	151027
-147842	171011	71772	194509	-94394	146127
23360	225279	33001	146261	-147604	61705
167829	149	124046	22237	-173296	227427
85615	197456	-185393	51694	-152549	206053
181337	231732	223954	11771	-158363	194102
-191079	47878	120397	128740	84438	100835
131573	158670	-949	29970	-94055	32048
205228	104591	-87623	55093	-235966	187269
23403	131017	254635	69918	-200027	234028
230336	8161	-57712	111961	8083	130462
45455	148256	-103597	90502	173493	224234
45455	148256	-103597	90502	48120	243853
180173	108230	-71482	224331	-150323	143008
91089	4625	143988	128957	20473	156836
-126997	218663	252191	155574	-50063	97088
-247028	238521	17576	11521	170213	60754
-40699	62197	-115935	21662	140456	16899
-206509	260924	338	185533	-809	167173
-156399	175480	34711	127280	-202889	77489
-33553	161394	-155847	59684	1807	103320
27700	180769	247824	47323	-55710	73057
-174467	176144	83439	30242	232585	22274
-52925	40589	-209867	139072	-89227	92109
-223019	189625	-56150	165421	-214876	35345
-206509	260924	214499	153467	-183691	181183
-103269	209272	216438	245057	-170575	58133
117241	236201	-174239	10151	39101	89225
243801	48083	178540	42957	46836	65969
-206509	260924	-33173	107816	-183691	181183
247935	75709	-184532	80919	184180	47601
-227136	79957	-120535	236823	153211	211560
158905	70144	158057	9472	-45919	132225
-116885	5822	161864	198875	-8735	102928
-30293	151374	128778	118387	197443	223901
-33876	195955	45262	66711	197443	223901
181337	231732	236262	160691	194519	173530
-227136	79957	-142572	188641	-173617	65707
189718	211247	236262	160691	54988	144607
183802	83169	-151400	37711	-247828	186591
-124810	256299	-151762	132397	154097	123246
85615	197456	-182351	160432	-11670	97151
7466	101015	-75799	222999	-41524	232759
-77720	51619	159821	202242	154097	201412
-209409	116143	-46561	117424	256486	69763
-44434	69197	242580	38089	-5122	141599
-241959	30340	230343	211930	-64267	211689
114875	132534	3139	50169	-90095	74046
114341	130503	220376	34701	-95661	116143
89966	153947	-159856	204795	-220895	63573
-98443	207866	210846	77873	105441	25393
-183077	158212	-27910	146329	-214592	231939
-64351	215932	250349	244979	-137975	93439
255687	233656	34001	223901	253862	111
97120	13407	136246	80549	-34924	189071
214877	121192	-127283	187738	174772	123205
184237	120102	-184379	199137	127287	202831
-133498	47601	-24213	5402	-13853	94793
240906	69167	13907	104493	160972	125689
240906	69167	-124860	165907	160972	125689
-4901	208781	-132697	46125	114339	79550
-118061	61904	-166643	13246	-260065	128699
-70251	151700	-254249	57918	-23352	170581
-58375	260883	258063	45236	117571	249602
245804	246591	227785	176601	175851	101143
-25658	205041	233693	228975	258200	55167
231892	112187	137397	24224	196276	198727
240555	36121	-233037	8251	59155	201541
13659	86510	255087	24383	170861	197112
257447	242720	70701	41611	-138865	123152
-22359	7252	138020	192339	20025	110372
67117	166759	-127764	8299	183463	256045
231565	95571	162726	52331	18847	104615
60142	235511	-206518	53341	124229	233840
200941	155488	230393	212565	-101231	217874
231565	95571	-25013	244326	-228308	100913
-149166	39205	-65697	165107	145887	149554
231565	95571	33073	2961	177653	179224
-133307	190527	-239304	85871	-248763	229193
132989	164650	29068	141061	-146208	144853
247238	30081	4729	42312	-30768	247045
43977	145202	245884	93439	51754	232767
-54518	102601	166627	189932	255861	251002
257447	242720	6342	206357	-29644	156963
104080	125173	-188997	247789	191817	134779
228974	210313	162020	201679	-187145	120398
-93235	39466	-215617	255291	16890	153217
9802	168683	131234	5289	-43005	239677
