u	t	w	source
5720	120879	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	121363	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	122210	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	122694	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	123541	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	124025	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	124872	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	125356	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	126203	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	126687	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	127534	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	128018	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	128865	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	129349	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	130196	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	130680	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	131527	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	132011	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	132858	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	133342	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	134189	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	134673	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	135520	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	136004	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	136851	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	137335	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	138182	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	138666	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	139513	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	139997	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	140844	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	141328	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	142175	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	142659	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	143506	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	143990	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	144837	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	145321	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	146168	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	146652	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	147499	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	147983	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	148830	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	149314	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	150161	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	150645	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	151492	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	151976	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	152823	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	153307	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	154154	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	154638	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	155485	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	155969	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	156816	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	157300	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	158147	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	158631	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	159478	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	159962	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5720	160809	88814	target_22224_direct_contact_nearmiss_fixedbranch_p11
5801	5179	153801	target_22224_direct_contact_deep13_padic_tangent_p11
5801	19820	80596	target_22224_direct_contact_deep13_padic_tangent_p11
5801	34461	7391	target_22224_direct_contact_deep13_padic_tangent_p11
5801	49102	95237	target_22224_direct_contact_deep13_padic_tangent_p11
5801	63743	22032	target_22224_direct_contact_deep13_padic_tangent_p11
5801	78384	109878	target_22224_direct_contact_deep13_padic_tangent_p11
5801	93025	36673	target_22224_direct_contact_deep13_padic_tangent_p11
5801	107666	124519	target_22224_direct_contact_deep13_padic_tangent_p11
5801	122307	51314	target_22224_direct_contact_deep13_padic_tangent_p11
5801	136948	139160	target_22224_direct_contact_deep13_padic_tangent_p11
5801	151589	65955	target_22224_direct_contact_deep13_padic_tangent_p11
7902	8424	115180	target_22224_direct_contact_deep13_padic_tangent_p11
7902	23065	41975	target_22224_direct_contact_deep13_padic_tangent_p11
7902	37706	129821	target_22224_direct_contact_deep13_padic_tangent_p11
7902	52347	56616	target_22224_direct_contact_deep13_padic_tangent_p11
7902	66988	144462	target_22224_direct_contact_deep13_padic_tangent_p11
7902	81629	71257	target_22224_direct_contact_deep13_padic_tangent_p11
7902	96270	159103	target_22224_direct_contact_deep13_padic_tangent_p11
7902	110911	85898	target_22224_direct_contact_deep13_padic_tangent_p11
7902	125552	12693	target_22224_direct_contact_deep13_padic_tangent_p11
7902	140193	100539	target_22224_direct_contact_deep13_padic_tangent_p11
7902	154834	27334	target_22224_direct_contact_deep13_padic_tangent_p11
10102	5784	150336	target_22224_direct_contact_deep13_padic_tangent_p11
10102	20425	77131	target_22224_direct_contact_deep13_padic_tangent_p11
10102	35066	3926	target_22224_direct_contact_deep13_padic_tangent_p11
10102	49707	91772	target_22224_direct_contact_deep13_padic_tangent_p11
10102	64348	18567	target_22224_direct_contact_deep13_padic_tangent_p11
10102	78989	106413	target_22224_direct_contact_deep13_padic_tangent_p11
10102	93630	33208	target_22224_direct_contact_deep13_padic_tangent_p11
10102	108271	121054	target_22224_direct_contact_deep13_padic_tangent_p11
10102	122912	47849	target_22224_direct_contact_deep13_padic_tangent_p11
10102	137553	135695	target_22224_direct_contact_deep13_padic_tangent_p11
10102	152194	62490	target_22224_direct_contact_deep13_padic_tangent_p11
10883	4464	4311	target_22224_direct_contact_deep13_padic_tangent_p11
10883	19105	92157	target_22224_direct_contact_deep13_padic_tangent_p11
10883	33746	18952	target_22224_direct_contact_deep13_padic_tangent_p11
10883	48387	106798	target_22224_direct_contact_deep13_padic_tangent_p11
10883	63028	33593	target_22224_direct_contact_deep13_padic_tangent_p11
10883	77669	121439	target_22224_direct_contact_deep13_padic_tangent_p11
10883	92310	48234	target_22224_direct_contact_deep13_padic_tangent_p11
10883	106951	136080	target_22224_direct_contact_deep13_padic_tangent_p11
10883	121592	62875	target_22224_direct_contact_deep13_padic_tangent_p11
10883	136233	150721	target_22224_direct_contact_deep13_padic_tangent_p11
10883	150874	77516	target_22224_direct_contact_deep13_padic_tangent_p11
10905	1538	151007	target_22224_direct_contact_deep13_padic_tangent_p11
10905	16179	77802	target_22224_direct_contact_deep13_padic_tangent_p11
10905	30820	4597	target_22224_direct_contact_deep13_padic_tangent_p11
10905	45461	92443	target_22224_direct_contact_deep13_padic_tangent_p11
10905	60102	19238	target_22224_direct_contact_deep13_padic_tangent_p11
10905	74743	107084	target_22224_direct_contact_deep13_padic_tangent_p11
10905	89384	33879	target_22224_direct_contact_deep13_padic_tangent_p11
10905	104025	121725	target_22224_direct_contact_deep13_padic_tangent_p11
10905	118666	48520	target_22224_direct_contact_deep13_padic_tangent_p11
10905	133307	136366	target_22224_direct_contact_deep13_padic_tangent_p11
10905	147948	63161	target_22224_direct_contact_deep13_padic_tangent_p11
15162	11306	124244	target_22224_direct_contact_deep13_padic_tangent_p11
15162	25947	51039	target_22224_direct_contact_deep13_padic_tangent_p11
15162	40588	138885	target_22224_direct_contact_deep13_padic_tangent_p11
15162	55229	65680	target_22224_direct_contact_deep13_padic_tangent_p11
15162	69870	153526	target_22224_direct_contact_deep13_padic_tangent_p11
15162	84511	80321	target_22224_direct_contact_deep13_padic_tangent_p11
15162	99152	7116	target_22224_direct_contact_deep13_padic_tangent_p11
15162	113793	94962	target_22224_direct_contact_deep13_padic_tangent_p11
15162	128434	21757	target_22224_direct_contact_deep13_padic_tangent_p11
15162	143075	109603	target_22224_direct_contact_deep13_padic_tangent_p11
15162	157716	36398	target_22224_direct_contact_deep13_padic_tangent_p11
16724	2781	14442	target_22224_direct_contact_deep13_padic_tangent_p11
16724	17422	102288	target_22224_direct_contact_deep13_padic_tangent_p11
16724	32063	29083	target_22224_direct_contact_deep13_padic_tangent_p11
16724	46704	116929	target_22224_direct_contact_deep13_padic_tangent_p11
16724	61345	43724	target_22224_direct_contact_deep13_padic_tangent_p11
16724	75986	131570	target_22224_direct_contact_deep13_padic_tangent_p11
16724	90627	58365	target_22224_direct_contact_deep13_padic_tangent_p11
16724	105268	146211	target_22224_direct_contact_deep13_padic_tangent_p11
16724	119909	73006	target_22224_direct_contact_deep13_padic_tangent_p11
16724	134550	160852	target_22224_direct_contact_deep13_padic_tangent_p11
16724	149191	87647	target_22224_direct_contact_deep13_padic_tangent_p11
19826	10965	76988	target_22224_direct_contact_deep13_padic_tangent_p11
19826	25606	3783	target_22224_direct_contact_deep13_padic_tangent_p11
19826	40247	91629	target_22224_direct_contact_deep13_padic_tangent_p11
19826	54888	18424	target_22224_direct_contact_deep13_padic_tangent_p11
19826	69529	106270	target_22224_direct_contact_deep13_padic_tangent_p11
19826	84170	33065	target_22224_direct_contact_deep13_padic_tangent_p11
19826	98811	120911	target_22224_direct_contact_deep13_padic_tangent_p11
