family	p	status	finite_cover	finite_smooth	finite_live	finite_singular	infinity_full	live_T	J_orders
F4	19	LIVE	4	0	4	4	0	[ 1, 8, 11, 18 ]	[ -1, -1, -1, -1 ]
F4	23	LIVE	6	2	4	4	0	[ 7, 8, 15, 16 ]	[ -1, -1, -1, -1 ]
F4	29	LIVE	7	4	5	3	0	[ 0, 1, 9, 20, 28 ]	[ -1, 960, -1, -1, 960 ]
F4	31	LIVE	6	4	4	2	0	[ 9, 15, 16, 22 ]	[ 960, -1, -1, 960 ]
F4	37	LIVE	8	4	4	4	0	[ 2, 12, 25, 35 ]	[ -1, -1, -1, -1 ]
F4	41	LIVE	9	8	3	1	0	[ 0, 7, 34 ]	[ -1, 1536, 1536 ]
F4	43	LIVE	10	8	8	2	0	[ 5, 10, 12, 15, 28, 31, 33, 38 ]	[ -1, 1728, 2304, 1920, 1920, 2304, 1728, -1 ]
F5	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F5	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F5	11	LIVE	4	0	4	4	0	[ 1, 4, 7, 10 ]	[ -1, -1, -1, -1 ]
F5	13	LIVE	3	2	1	1	0	[ 0 ]	[ -1 ]
F5	17	LIVE	4	2	3	2	1	[ 6, 11, -1 ]	[ -1, -1, -2 ]
F5	19	DEAD	4	4	0	0	0	[]	[]
F6	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F6	7	LIVE	4	0	4	4	0	[ 1, 2, 5, 6 ]	[ -1, -1, -1, -1 ]
F6	11	LIVE	4	2	2	2	0	[ 2, 9 ]	[ -1, -1 ]
F6	13	LIVE	4	2	2	2	0	[ 1, 12 ]	[ -1, -1 ]
F6	17	LIVE	5	4	3	1	0	[ 0, 2, 15 ]	[ -1, 384, 384 ]
F6	19	LIVE	5	0	6	5	1	[ 0, 1, 2, 17, 18, -1 ]	[ -1, -1, -1, -1, -1, -2 ]
F6	23	LIVE	5	4	2	1	1	[ 0, -1 ]	[ -1, -2 ]
F6	29	LIVE	6	6	3	0	1	[ 1, 28, -1 ]	[ 960, 960, -2 ]
F6	31	LIVE	7	4	5	3	0	[ 0, 1, 9, 22, 30 ]	[ -1, -1, 768, 768, -1 ]
F6	37	LIVE	6	4	6	2	0	[ 1, 2, 8, 29, 35, 36 ]	[ 1344, -1, 1920, 1920, -1, 1344 ]
F6	41	LIVE	8	6	6	2	0	[ 1, 4, 9, 32, 37, 40 ]	[ 1536, -1, 1536, 1536, -1, 1536 ]
F6	43	LIVE	8	6	7	2	1	[ 2, 7, 12, 31, 36, 41, -1 ]	[ 1536, -1, 2688, 2688, -1, 1536, -2 ]
F7	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
F7	7	LIVE	4	0	4	4	0	[ 1, 3, 4, 6 ]	[ -1, -1, -1, -1 ]
F7	11	LIVE	4	0	4	4	0	[ 1, 3, 8, 10 ]	[ -1, -1, -1, -1 ]
F7	13	LIVE	4	2	2	2	0	[ 2, 11 ]	[ -1, -1 ]
F7	17	LIVE	17	0	18	17	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
F7	19	LIVE	6	0	6	6	0	[ 1, 2, 7, 12, 17, 18 ]	[ -1, -1, -1, -1, -1, -1 ]
F7	23	LIVE	4	4	2	0	0	[ 1, 22 ]	[ 768, 768 ]
F7	29	LIVE	3	2	1	1	0	[ 0 ]	[ -1 ]
F7	31	DEAD	6	6	0	0	0	[]	[]
N1	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
N1	7	LIVE	7	0	8	7	1	[ 0, 1, 2, 3, 4, 5, 6, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -2 ]
N1	11	LIVE	4	0	4	4	0	[ 1, 4, 7, 10 ]	[ -1, -1, -1, -1 ]
N1	13	LIVE	5	0	5	5	0	[ 0, 1, 3, 10, 12 ]	[ -1, -1, -1, -1, -1 ]
N1	17	LIVE	4	4	2	0	0	[ 1, 16 ]	[ 384, 384 ]
N1	19	DEAD	4	4	0	0	0	[]	[]
N2	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
N2	7	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
N2	11	LIVE	4	0	4	4	0	[ 1, 4, 7, 10 ]	[ -1, -1, -1, -1 ]
N2	13	LIVE	13	0	14	13	1	[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, -1 ]	[ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -2 ]
N2	17	LIVE	4	4	2	0	0	[ 1, 16 ]	[ 384, 384 ]
N2	19	LIVE	4	0	4	4	0	[ 1, 3, 16, 18 ]	[ -1, -1, -1, -1 ]
N2	23	DEAD	4	4	0	0	0	[]	[]
N3	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
N3	7	LIVE	4	0	4	4	0	[ 1, 3, 4, 6 ]	[ -1, -1, -1, -1 ]
N3	11	LIVE	4	0	4	4	0	[ 1, 3, 8, 10 ]	[ -1, -1, -1, -1 ]
N3	13	LIVE	4	2	2	2	0	[ 1, 12 ]	[ -1, -1 ]
N3	17	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
N3	19	LIVE	6	0	6	6	0	[ 1, 6, 9, 10, 13, 18 ]	[ -1, -1, -1, -1, -1, -1 ]
N3	23	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
N3	29	LIVE	5	4	1	1	0	[ 0 ]	[ -1 ]
N3	31	LIVE	4	4	2	0	0	[ 1, 30 ]	[ 768, 768 ]
N3	37	LIVE	5	2	3	3	0	[ 0, 2, 35 ]	[ -1, -1, -1 ]
N3	41	LIVE	8	4	8	4	0	[ 1, 3, 7, 15, 26, 34, 38, 40 ]	[ -1, 1920, 1536, -1, -1, 1536, 1920, -1 ]
N3	43	LIVE	8	4	4	4	0	[ 17, 21, 22, 26 ]	[ -1, -1, -1, -1 ]
N4	5	LIVE	3	0	3	3	0	[ 0, 1, 4 ]	[ -1, -1, -1 ]
N4	7	LIVE	4	0	5	4	1	[ 1, 2, 5, 6, -1 ]	[ -1, -1, -1, -1, -2 ]
N4	11	LIVE	5	0	6	5	1	[ 0, 1, 3, 8, 10, -1 ]	[ -1, -1, -1, -1, -1, -2 ]
N4	13	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
N4	17	LIVE	4	4	2	0	0	[ 1, 16 ]	[ 384, 384 ]
N4	19	LIVE	4	0	4	4	0	[ 1, 7, 12, 18 ]	[ -1, -1, -1, -1 ]
N4	23	LIVE	4	0	5	4	1	[ 1, 9, 14, 22, -1 ]	[ -1, -1, -1, -1, -2 ]
N4	29	LIVE	6	4	2	2	0	[ 7, 22 ]	[ -1, -1 ]
N4	31	LIVE	6	6	2	0	0	[ 1, 30 ]	[ 960, 960 ]
N4	37	LIVE	6	4	3	2	1	[ 16, 21, -1 ]	[ -1, -1, -2 ]
N4	41	LIVE	7	6	5	1	0	[ 0, 1, 4, 37, 40 ]	[ -1, 1536, 2304, 2304, 1536 ]
N4	43	LIVE	7	6	5	1	0	[ 0, 1, 19, 24, 42 ]	[ -1, 1728, 1920, 1920, 1728 ]
N5	5	SKIP_COEFFICIENT	-1	-1	-1	-1	-1	[]	[]
