p	A	B	C	rho	sigma	pairing	a	b	c	d	mc	nc	U1	U0	V1	V0	M	N	G1	G0	W1	W0	ordD	ordH	relrankMN
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	35	18	62	66	57	34	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	46	22	2	47	41	35	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	48	10	25	53	56	34	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	51	58	15	46	30	45	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	62	62	18	17	36	63	12	24	2
67	3	23	34	4	54	3	28	21	59	31	36	30	26	39	64	37	63	52	23	19	53	35	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	1	2	64	16	66	52	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	12	60	44	64	66	60	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	17	15	14	22	52	34	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	26	10	22	48	65	46	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	30	14	40	49	37	49	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	36	57	41	1	66	59	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	37	1	6	46	49	65	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	38	54	60	43	10	38	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	42	40	49	66	18	54	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	44	26	14	31	30	13	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	45	48	1	19	16	18	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	48	5	6	10	3	15	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	54	19	65	25	5	42	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	57	49	5	63	10	26	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	64	8	30	2	43	59	12	24	2
67	3	23	34	63	13	1	8	39	46	36	2	38	58	40	7	5	65	24	42	12	63	11	12	24	2
67	3	23	34	63	13	2	8	46	39	36	2	38	58	40	7	5	1	2	64	16	66	52	12	24	2
67	3	23	34	63	13	2	8	46	39	36	2	38	58	40	7	5	12	60	44	64	66	60	12	24	2
67	3	23	34	63	13	2	8	46	39	36	2	38	58	40	7	5	17	15	14	22	52	34	12	24	2
67	3	23	34	63	13	2	8	46	39	36	2	38	58	40	7	5	26	10	22	48	65	46	12	24	2
