a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
3324	4432	6768	9024	0	831	1108	1692	2256	1	1	0	0	0
3325	4175	7847	9853	6	3325	4175	-7847	-9853	1	0	0	0	0
3328	4096	7228	8896	6	832	1024	-1807	-2224	1	0	0	0	0
3328	5920	7200	9620	6	832	1480	-1800	-2405	0	0	0	0	0
3330	3420	3663	3762	6	370	380	-407	-418	1	0	0	0	0
3330	4170	7770	9730	6	333	417	-777	-973	1	0	0	0	0
3330	4860	5735	8370	6	666	972	-1147	-1674	1	0	0	0	0
3330	4995	5328	5550	6	30	45	-48	-50	0	0	0	0	0
3332	4018	6664	8036	6	34	41	-68	-82	1	0	0	0	0
3332	4896	4998	9996	6	98	144	-147	-294	0	0	0	0	0
3335	3915	6003	7047	6	115	135	-207	-243	1	0	0	0	0
3342	4770	5570	7950	6	1671	2385	-2785	-3975	1	0	0	0	0
3344	3456	3762	3888	6	1672	1728	-1881	-1944	1	0	0	0	0
3344	4180	7744	9680	6	76	95	-176	-220	1	0	0	0	0
3344	4807	5632	8096	6	304	437	-512	-736	1	0	0	0	0
3344	5476	5684	6061	6	3344	5476	-5684	-6061	0	0	0	0	0
3348	3627	4464	4836	6	36	39	-48	-52	1	0	0	0	0
3348	3852	5580	6420	6	279	321	-465	-535	1	0	0	0	0
3350	3525	4020	4230	6	670	705	-804	-846	1	0	0	0	0
3360	3840	5460	6240	6	56	64	-91	-104	1	0	0	0	0
3360	5040	5054	8400	6	240	360	-361	-600	0	0	0	0	0
3360	5040	5376	5600	6	30	45	-48	-50	0	0	0	0	0
3364	4176	7569	9396	6	116	144	-261	-324	1	0	0	0	0
3366	3564	4131	4374	6	374	396	-459	-486	1	0	0	0	0
3366	3927	5916	6902	6	198	231	-348	-406	1	0	0	0	0
3366	4059	6732	8118	6	34	41	-68	-82	1	0	0	0	0
3375	5075	6075	9135	6	675	1015	-1215	-1827	1	0	0	0	0
3376	4736	5486	7696	6	1688	2368	-2743	-3848	1	0	0	0	0
3380	3556	4480	6350	6	1690	1778	-2240	-3175	0	0	0	0	0
3380	3920	4212	8125	6	3380	3920	-4212	-8125	0	0	0	0	0
3380	4056	6630	7956	6	130	156	-255	-306	1	0	0	0	0
3381	7203	7581	7728	6	161	343	-361	-368	0	0	0	0	0
3384	3525	3760	5640	6	72	75	-80	-120	0	0	0	0	0
3384	3666	4512	4888	6	36	39	-48	-52	1	0	0	0	0
3384	3807	5184	5832	6	376	423	-576	-648	1	0	0	0	0
3384	4559	5184	6984	6	3384	4559	-5184	-6984	1	0	0	0	0
3384	4841	5184	7416	6	3384	4841	-5184	-7416	1	0	0	0	0
3385	4739	6275	8785	6	3385	4739	-6275	-8785	1	0	0	0	0
3388	3927	5808	6732	6	308	357	-528	-612	1	0	0	0	0
3390	5085	5424	5650	6	30	45	-48	-50	0	0	0	0	0
3400	4100	6800	8200	6	34	41	-68	-82	1	0	0	0	0
3402	3780	4977	5530	6	486	540	-711	-790	1	0	0	0	0
3402	3843	5292	5978	6	486	549	-756	-854	1	0	0	0	0
3402	4023	6300	7450	6	3402	4023	-6300	-7450	1	0	0	0	0
3402	4158	7182	8778	6	81	99	-171	-209	1	0	0	0	0
3402	4203	5292	6538	6	3402	4203	-5292	-6538	1	0	0	0	0
3402	7623	8448	9702	6	1134	2541	-2816	-3234	0	0	0	0	0
3404	3922	5704	6572	6	1702	1961	-2852	-3286	1	0	0	0	0
3408	5112	6112	9168	6	426	639	-764	-1146	1	0	0	0	0
3408	8112	8448	9372	6	284	676	-704	-781	0	0	0	0	0
3410	3718	4418	7750	6	1705	1859	-2209	-3875	0	0	0	0	0
3410	4180	7285	8930	6	682	836	-1457	-1786	1	0	0	0	0
3416	3904	5551	6344	6	56	64	-91	-104	1	0	0	0	0
3420	3705	4560	4940	6	36	39	-48	-52	1	0	0	0	0
3420	4080	6555	7820	6	684	816	-1311	-1564	1	0	0	0	0
3420	4185	4560	5580	6	228	279	-304	-372	1	0	0	0	0
3420	4275	7920	9900	6	76	95	-176	-220	1	0	0	0	0
3420	4692	4845	9200	6	3420	4692	-4845	-9200	0	0	0	0	0
3420	5130	5472	5700	6	30	45	-48	-50	0	0	0	0	0
3421	3729	4665	5085	6	3421	3729	-4665	-5085	1	0	0	0	0
3422	3828	5133	5742	6	118	132	-177	-198	1	0	0	0	0
3424	4096	6634	7936	6	1712	2048	-3317	-3968	1	0	0	0	0
3429	4374	5334	6804	6	1143	1458	-1778	-2268	1	0	0	0	0
3432	4524	5676	7482	6	572	754	-946	-1247	1	0	0	0	0
3434	3838	5134	5738	6	1717	1919	-2567	-2869	1	0	0	0	0
3434	4141	6868	8282	6	34	41	-68	-82	1	0	0	0	0
3450	4050	6210	7290	6	115	135	-207	-243	1	0	0	0	0
3450	5060	5985	8778	6	3450	5060	-5985	-8778	1	0	0	0	0
3450	5175	5520	5750	6	30	45	-48	-50	0	0	0	0	0
3451	3799	4879	5371	6	3451	3799	-4879	-5371	1	0	0	0	0
3456	3480	5400	7830	6	576	580	-900	-1305	0	0	0	0	0
3456	3600	3840	5760	6	72	75	-80	-120	0	0	0	0	0
3456	3744	4608	4992	6	36	39	-48	-52	1	0	0	0	0
3456	3888	4272	4806	6	576	648	-712	-801	1	0	0	0	0
3458	4142	6734	8066	6	1729	2071	-3367	-4033	1	0	0	0	0
3458	4242	7410	9090	6	1729	2121	-3705	-4545	1	0	0	0	0
