t_num	t_den	p	r	boundary	jorder	jmod3	allowed
1	2	73	16	0	4608	0	1
1	2	73	17	0	5632	1	0
1	2	73	18	1	0	-1	1
1	2	73	19	0	4608	0	1
1	2	73	20	0	4096	1	0
1	2	73	21	0	4096	1	0
1	2	73	22	0	5632	1	0
1	2	73	23	0	5120	2	0
1	2	73	24	0	4096	1	0
1	2	73	25	0	5120	2	0
1	2	73	26	0	5632	1	0
1	2	73	27	0	4096	1	0
1	2	73	28	0	5632	1	0
1	2	73	29	0	5120	2	0
1	2	73	30	0	4608	0	1
1	2	73	31	0	5632	1	0
1	2	73	32	0	4608	0	1
1	2	73	33	0	5632	1	0
1	2	73	34	0	4608	0	1
1	2	73	35	0	5632	1	0
1	2	73	36	0	4608	0	1
1	2	73	37	0	5632	1	0
1	2	73	38	0	5120	2	0
1	2	73	39	0	4608	0	1
1	2	73	40	0	4608	0	1
1	2	73	41	0	5120	2	0
1	2	73	42	0	4608	0	1
1	2	73	43	0	5632	1	0
1	2	73	44	0	5632	1	0
1	2	73	45	0	5120	2	0
1	2	73	46	0	4096	1	0
1	2	73	47	0	5120	2	0
1	2	73	48	0	5632	1	0
1	2	73	49	0	4608	0	1
1	2	73	50	0	4608	0	1
1	2	73	51	0	4608	0	1
1	2	73	52	0	4608	0	1
1	2	73	53	0	4096	1	0
1	2	73	54	0	5120	2	0
1	2	73	55	0	4096	1	0
1	2	73	56	0	4608	0	1
1	2	73	57	0	5120	2	0
1	2	73	58	0	4608	0	1
1	2	73	59	0	5632	1	0
1	2	73	60	0	5632	1	0
1	2	73	61	0	4608	0	1
1	2	73	62	0	4096	1	0
1	2	73	63	0	4608	0	1
1	2	73	64	0	4608	0	1
1	2	73	65	0	5120	2	0
1	2	73	66	0	4608	0	1
1	2	73	67	0	5120	2	0
1	2	73	68	0	5120	2	0
1	2	73	69	1	0	-1	1
1	2	73	70	0	4096	1	0
1	2	73	71	0	4608	0	1
1	2	73	72	1	0	-1	1
1	2	73	inf	1	0	-1	1
1	2	79	0	1	0	-1	1
1	2	79	1	1	0	-1	1
1	2	79	2	0	5632	1	0
1	2	79	3	0	5120	2	0
1	2	79	4	0	5120	2	0
1	2	79	5	0	5632	1	0
1	2	79	6	0	4096	1	0
1	2	79	7	0	5632	1	0
1	2	79	8	0	5120	2	0
1	2	79	9	0	5120	2	0
1	2	79	10	0	5120	2	0
1	2	79	11	0	4608	0	1
1	2	79	12	0	5120	2	0
1	2	79	13	0	6144	0	1
1	2	79	14	0	4608	0	1
1	2	79	15	0	4608	0	1
1	2	79	16	0	5632	1	0
1	2	79	17	0	4608	0	1
1	2	79	18	0	4608	0	1
1	2	79	19	0	5632	1	0
1	2	79	20	0	5120	2	0
1	2	79	21	0	4096	1	0
1	2	79	22	0	4608	0	1
1	2	79	23	0	6144	0	1
1	2	79	24	0	5120	2	0
1	2	79	25	0	5632	1	0
1	2	79	26	0	5632	1	0
1	2	79	27	0	6144	0	1
1	2	79	28	0	5632	1	0
1	2	79	29	0	5632	1	0
1	2	79	30	0	5632	1	0
1	2	79	31	0	5632	1	0
1	2	79	32	0	6144	0	1
1	2	79	33	0	5120	2	0
1	2	79	34	0	5632	1	0
1	2	79	35	0	5632	1	0
1	2	79	36	0	4608	0	1
1	2	79	37	0	5632	1	0
1	2	79	38	1	0	-1	1
1	2	79	39	0	4608	0	1
1	2	79	40	0	5632	1	0
1	2	79	41	0	6144	0	1
1	2	79	42	0	6144	0	1
1	2	79	43	0	4608	0	1
1	2	79	44	0	5120	2	0
1	2	79	45	1	0	-1	1
1	2	79	46	0	4608	0	1
1	2	79	47	0	5632	1	0
1	2	79	48	0	5632	1	0
1	2	79	49	0	4608	0	1
1	2	79	50	0	4608	0	1
1	2	79	51	0	5632	1	0
1	2	79	52	1	0	-1	1
1	2	79	53	0	5120	2	0
1	2	79	54	0	4608	0	1
1	2	79	55	0	6144	0	1
1	2	79	56	0	5120	2	0
1	2	79	57	0	5120	2	0
1	2	79	58	0	4608	0	1
1	2	79	59	0	5120	2	0
1	2	79	60	0	4608	0	1
1	2	79	61	0	5120	2	0
1	2	79	62	0	5120	2	0
1	2	79	63	0	4608	0	1
1	2	79	64	0	4096	1	0
1	2	79	65	0	5120	2	0
1	2	79	66	0	4096	1	0
1	2	79	67	0	4608	0	1
1	2	79	68	0	4608	0	1
1	2	79	69	0	5120	2	0
1	2	79	70	0	5632	1	0
1	2	79	71	0	5120	2	0
1	2	79	72	1	0	-1	1
1	2	79	73	0	6144	0	1
1	2	79	74	0	4608	0	1
