a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
30	45	180	270	6	2	3	-12	-18	1	0	0	0	0
30	51	780	1326	6	10	17	-260	-442	1	0	0	0	0
30	60	120	1500	6	1	2	-4	-50	0	0	0	0	0
30	60	345	690	0	2	4	23	46	1	1	0	0	0
30	72	200	480	6	15	36	-100	-240	1	0	0	0	0
30	96	100	180	6	15	48	-50	-90	0	0	0	0	0
30	100	225	750	6	6	20	-45	-150	1	0	0	0	0
30	294	350	630	6	15	147	-175	-315	0	0	0	0	0
30	294	525	1680	6	10	98	-175	-560	0	0	0	0	0
30	375	490	720	6	6	75	-98	-144	0	0	0	0	0
30	375	750	1500	6	2	25	-50	-100	0	0	0	0	0
30	480	540	1500	6	1	16	-18	-50	0	0	0	0	0
30	490	750	810	6	3	49	-75	-81	0	0	0	0	0
31	59	589	1121	0	31	59	589	1121	1	1	0	0	0
31	62	124	1550	6	1	2	-4	-50	0	0	0	0	0
31	248	256	392	6	31	248	-256	-392	0	0	0	0	0
31	496	558	1550	6	1	16	-18	-50	0	0	0	0	0
31	1369	1375	1705	6	31	1369	-1375	-1705	0	0	0	0	0
32	48	192	288	6	2	3	-12	-18	1	0	0	0	0
32	53	512	848	6	32	53	-512	-848	1	0	0	0	0
32	60	768	1440	0	8	15	192	360	1	1	0	0	0
32	64	128	1600	6	1	2	-4	-50	0	0	0	0	0
32	64	368	736	0	2	4	23	46	1	1	0	0	0
32	68	256	544	0	8	17	64	136	1	1	0	0	0
32	88	128	352	0	4	11	16	44	1	1	0	0	0
32	400	800	1600	6	2	25	-50	-100	0	0	0	0	0
32	512	576	1600	6	1	16	-18	-50	0	0	0	0	0
32	605	800	1280	6	32	605	-800	-1280	0	0	0	0	0
33	66	132	1650	6	1	2	-4	-50	0	0	0	0	0
33	99	117	351	0	11	33	39	117	1	1	0	0	0
33	99	611	1833	6	33	99	-611	-1833	1	0	0	0	0
33	171	341	1767	0	33	171	341	1767	1	1	0	0	0
33	507	513	627	6	11	169	-171	-209	0	0	0	0	0
33	528	594	1650	6	1	16	-18	-50	0	0	0	0	0
33	539	825	891	6	3	49	-75	-81	0	0	0	0	0
34	41	68	82	6	34	41	-68	-82	1	0	0	0	0
34	51	204	306	6	2	3	-12	-18	1	0	0	0	0
34	66	510	990	0	17	33	255	495	1	1	0	0	0
34	68	136	1700	6	1	2	-4	-50	0	0	0	0	0
34	68	391	782	0	2	4	23	46	1	1	0	0	0
34	76	221	494	0	34	76	221	494	1	1	0	0	0
34	289	338	612	6	34	289	-338	-612	0	0	0	0	0
34	289	612	1250	6	34	289	-612	-1250	0	0	0	0	0
34	425	850	1700	6	2	25	-50	-100	0	0	0	0	0
34	544	612	1700	6	1	16	-18	-50	0	0	0	0	0
35	63	75	735	6	35	63	-75	-735	0	0	0	0	0
35	65	1015	1885	0	7	13	203	377	1	1	0	0	0
35	70	140	1750	6	1	2	-4	-50	0	0	0	0	0
35	112	200	1960	6	35	112	-200	-1960	0	0	0	0	0
35	150	294	1260	6	35	150	-294	-1260	1	0	0	0	0
35	560	630	1750	6	1	16	-18	-50	0	0	0	0	0
36	39	48	52	6	36	39	-48	-52	1	0	0	0	0
36	48	111	148	6	36	48	-111	-148	1	0	0	0	0
36	54	216	324	6	2	3	-12	-18	1	0	0	0	0
36	57	336	532	6	36	57	-336	-532	1	0	0	0	0
36	60	636	1060	6	9	15	-159	-265	1	0	0	0	0
36	69	624	1196	0	36	69	624	1196	1	1	0	0	0
36	72	144	1800	6	1	2	-4	-50	0	0	0	0	0
36	72	414	828	0	2	4	23	46	1	1	0	0	0
36	78	264	572	0	18	39	132	286	1	1	0	0	0
36	84	204	476	0	9	21	51	119	1	1	0	0	0
36	99	144	396	0	4	11	16	44	1	1	0	0	0
36	114	120	380	0	18	57	60	190	1	1	0	0	0
36	120	270	900	6	6	20	-45	-150	1	0	0	0	0
36	189	336	1764	6	12	63	-112	-588	1	0	0	0	0
36	450	588	864	6	6	75	-98	-144	0	0	0	0	0
36	450	900	1800	6	2	25	-50	-100	0	0	0	0	0
36	576	648	1800	6	1	16	-18	-50	0	0	0	0	0
36	588	900	972	6	3	49	-75	-81	0	0	0	0	0
37	63	999	1701	6	37	63	-999	-1701	1	0	0	0	0
37	74	148	1850	6	1	2	-4	-50	0	0	0	0	0
37	592	666	1850	6	1	16	-18	-50	0	0	0	0	0
38	52	133	182	6	38	52	-133	-182	1	0	0	0	0
38	57	228	342	6	2	3	-12	-18	1	0	0	0	0
38	62	494	806	6	19	31	-247	-403	1	0	0	0	0
38	76	152	1900	6	1	2	-4	-50	0	0	0	0	0
38	76	437	874	0	2	4	23	46	1	1	0	0	0
38	87	228	522	0	38	87	228	522	1	1	0	0	0
38	475	950	1900	6	2	25	-50	-100	0	0	0	0	0
38	608	684	1900	6	1	16	-18	-50	0	0	0	0	0
39	78	156	1950	6	1	2	-4	-50	0	0	0	0	0
39	81	351	729	0	13	27	117	243	1	1	0	0	0
39	468	676	768	6	39	468	-676	-768	0	0	0	0	0
39	624	702	1950	6	1	16	-18	-50	0	0	0	0	0
39	637	975	1053	6	3	49	-75	-81	0	0	0	0	0
40	60	240	360	6	2	3	-12	-18	1	0	0	0	0
40	64	415	664	6	40	64	-415	-664	1	0	0	0	0
40	68	1040	1768	6	10	17	-260	-442	1	0	0	0	0
40	72	75	240	6	40	72	-75	-240	0	0	0	0	0
40	75	960	1800	0	8	15	192	360	1	1	0	0	0
40	80	160	2000	6	1	2	-4	-50	0	0	0	0	0
40	80	460	920	0	2	4	23	46	1	1	0	0	0
40	85	320	680	0	8	17	64	136	1	1	0	0	0
40	96	210	504	0	20	48	105	252	1	1	0	0	0
40	110	160	440	0	4	11	16	44	1	1	0	0	0
40	450	608	760	0	20	225	304	380	0	1	0	0	0
40	500	1000	2000	6	2	25	-50	-100	0	0	0	0	0
40	600	726	1440	6	20	300	-363	-720	0	0	0	0	0
40	600	1440	1734	6	20	300	-720	-867	0	0	0	0	0
40	640	720	2000	6	1	16	-18	-50	0	0	0	0	0
41	49	121	369	6	41	49	-121	-369	0	0	0	0	0
41	69	861	1449	6	41	69	-861	-1449	1	0	0	0	0
41	248	328	1984	0	41	248	328	1984	1	1	0	0	0
41	256	800	1312	0	41	256	800	1312	0	1	0	0	0
42	63	252	378	6	2	3	-12	-18	1	0	0	0	0
42	84	483	966	0	2	4	23	46	1	1	0	0	0
42	108	189	486	0	14	36	63	162	1	1	0	0	0
42	127	252	762	6	42	127	-252	-762	1	0	0	0	0
42	140	315	1050	6	6	20	-45	-150	1	0	0	0	0
42	147	150	336	6	14	49	-50	-112	0	0	0	0	0
42	147	336	1014	6	14	49	-112	-338	0	0	0	0	0
42	525	686	1008	6	6	75	-98	-144	0	0	0	0	0
42	686	1050	1134	6	3	49	-75	-81	0	0	0	0	0
42	726	924	1617	6	14	242	-308	-539	0	0	0	0	0
43	57	129	171	6	43	57	-129	-171	1	0	0	0	0
44	56	110	140	6	22	28	-55	-70	1	0	0	0	0
44	66	264	396	6	2	3	-12	-18	1	0	0	0	0
44	72	594	972	6	22	36	-297	-486	1	0	0	0	0
44	77	98	1694	6	44	77	-98	-1694	0	0	0	0	0
44	86	616	1204	0	22	43	308	602	1	1	0	0	0
44	88	506	1012	0	2	4	23	46	1	1	0	0	0
44	112	187	476	6	44	112	-187	-476	1	0	0	0	0
44	121	176	484	0	4	11	16	44	1	1	0	0	0
44	132	156	468	0	11	33	39	117	1	1	0	0	0
44	484	1024	1859	6	44	484	-1024	-1859	0	0	0	0	0
44	676	684	836	6	11	169	-171	-209	0	0	0	0	0
44	726	891	1734	6	44	726	-891	-1734	0	0	0	0	0
45	75	795	1325	6	9	15	-159	-265	1	0	0	0	0
45	87	705	1363	0	45	87	705	1363	1	1	0	0	0
45	105	255	595	0	9	21	51	119	1	1	0	0	0
45	108	300	720	6	15	36	-100	-240	1	0	0	0	0
45	144	150	270	6	15	48	-50	-90	0	0	0	0	0
45	441	525	945	6	15	147	-175	-315	0	0	0	0	0
45	735	1125	1215	6	3	49	-75	-81	0	0	0	0	0
46	69	276	414	6	2	3	-12	-18	1	0	0	0	0
46	74	506	814	6	23	37	-253	-407	1	0	0	0	0
46	92	529	1058	0	2	4	23	46	1	1	0	0	0
46	292	722	1679	0	46	292	722	1679	0	1	0	0	0
47	103	329	721	0	47	103	329	721	1	1	0	0	0
48	72	288	432	6	2	3	-12	-18	1	0	0	0	0
48	96	98	144	6	24	48	-49	-72	0	0	0	0	0
48	96	552	1104	0	2	4	23	46	1	1	0	0	0
48	102	384	816	0	8	17	64	136	1	1	0	0	0
48	132	192	528	0	4	11	16	44	1	1	0	0	0
48	144	169	192	6	48	144	-169	-192	0	0	0	0	0
48	160	360	1200	6	6	20	-45	-150	1	0	0	0	0
48	600	784	1152	6	6	75	-98	-144	0	0	0	0	0
48	784	1200	1296	6	3	49	-75	-81	0	0	0	0	0
49	252	338	350	6	49	252	-338	-350	0	0	0	0	0
49	350	448	578	6	49	350	-448	-578	0	0	0	0	0
50	75	300	450	6	2	3	-12	-18	1	0	0	0	0
50	97	98	388	6	50	97	-98	-388	0	0	0	0	0
50	98	320	605	6	50	98	-320	-605	0	0	0	0	0
50	100	575	1150	0	2	4	23	46	1	1	0	0	0
50	144	147	726	6	50	144	-147	-726	0	0	0	0	0
50	150	450	726	6	25	75	-225	-363	0	0	0	0	0
50	169	196	242	6	50	169	-196	-242	0	0	0	0	0
50	192	405	1470	6	50	192	-405	-1470	0	0	0	0	0
50	193	242	772	6	50	193	-242	-772	0	0	0	0	0
50	528	726	891	6	50	528	-726	-891	0	0	1	0	0
51	99	765	1485	0	17	33	255	495	1	1	0	0	0
51	833	1275	1377	6	3	49	-75	-81	0	0	0	0	0
52	73	208	292	6	52	73	-208	-292	1	0	0	0	0
52	78	312	468	6	2	3	-12	-18	1	0	0	0	0
52	80	377	580	6	52	80	-377	-580	1	0	0	0	0
52	104	598	1196	0	2	4	23	46	1	1	0	0	0
52	108	468	972	0	13	27	117	243	1	1	0	0	0
52	130	248	620	0	26	65	124	310	1	1	0	0	0
52	143	208	572	0	4	11	16	44	1	1	0	0	0
54	81	324	486	6	2	3	-12	-18	1	0	0	0	0
54	90	954	1590	6	9	15	-159	-265	1	0	0	0	0
54	108	621	1242	0	2	4	23	46	1	1	0	0	0
54	117	396	858	0	18	39	132	286	1	1	0	0	0
54	126	306	714	0	9	21	51	119	1	1	0	0	0
54	171	180	570	0	18	57	60	190	1	1	0	0	0
54	180	405	1350	6	6	20	-45	-150	1	0	0	0	0
54	196	216	324	6	27	98	-108	-162	0	0	0	0	0
54	675	882	1296	6	6	75	-98	-144	0	0	0	0	0
54	810	1210	1350	6	27	405	-605	-675	0	0	0	0	0
54	882	1350	1458	6	3	49	-75	-81	0	0	0	0	0
55	165	195	585	0	11	33	39	117	1	1	0	0	0
55	845	855	1045	6	11	169	-171	-209	0	0	0	0	0
