m	n	k	torsion_coset
-94	479	985	2
-94	479	-527	2
-94	767	-23	2
-93	-468	-975	1
-90	483	717	1
-87	-126	33	1
-87	378	-111	1
-87	954	393	1
-84	-471	285	1
-84	321	-3	1
-84	609	645	1
-77	-860	-287	1
-77	220	73	1
-77	508	-935	1
-75	-954	-615	1
-75	-162	897	1
-75	630	-687	1
-75	846	-615	1
-72	-795	-435	1
-72	-507	-651	1
-72	285	-75	1
-70	-937	937	2
-70	-433	1	2
-70	-433	-791	2
-70	-433	-431	2
-70	647	361	2
-70	647	-431	2
-70	647	-71	2
-70	935	-647	2
-69	-108	-615	1
-69	972	-255	1
-66	-165	357	1
-66	915	717	1
-59	22	505	1
-58	-997	913	2
-58	-997	-599	2
-58	-205	625	2
-58	-205	-23	2
-58	83	-239	2
-58	875	337	2
-58	875	985	2
-57	-936	393	1
-57	-144	-687	1
-57	144	753	1
-57	360	825	1
-57	936	-327	1
-54	-993	-291	1
-51	-810	321	1
-51	-306	393	1
-51	774	753	1
-51	990	-183	1
-48	933	-867	1
-39	666	897	1
-39	666	-759	1
-36	-975	717	1
-36	609	-651	1
-34	-829	-143	2
-34	-613	-71	2
-34	-37	865	2
-34	467	289	2
-33	-792	-111	1
-33	-288	465	1
-33	0	249	1
-33	288	249	1
-33	504	321	1
-33	792	825	1
-22	-889	409	2
-22	-97	-671	2
-22	-97	-311	2
-22	911	769	2
-22	911	-239	2
-21	180	897	1
-20	1	253	1
-18	-381	717	1
-15	-990	393	1
-15	-774	465	1
-15	306	825	1
-12	-39	573	1
-8	757	-827	1
-3	-810	825	1
-3	774	-903	1
-2	-485	-107	1
-2	595	253	1
0	-75	-867	1
2	-793	-935	2
2	-793	-215	2
2	-217	-71	2
2	-1	1	2
2	-1	-503	2
2	287	145	2
2	287	-575	2
2	575	-863	2
3	-972	-615	1
3	-684	753	1
3	108	-255	1
3	324	-327	1
7	40	505	1
13	-122	505	1
13	958	865	1
14	-853	-95	2
14	-565	697	2
14	-61	-239	2
14	227	265	2
14	227	-887	2
15	-792	321	1
15	288	681	1
15	792	609	1
21	-954	321	1
21	-162	-687	1
21	126	681	1
21	918	-327	1
25	346	433	1
33	90	-975	1
36	249	-795	1
38	-685	793	2
38	-397	577	2
38	-397	-935	2
38	-181	793	2
39	-360	177	1
39	720	537	1
39	936	609	1
42	-417	429	1
42	879	-3	1
43	-140	433	1
43	940	793	1
50	-457	697	2
50	-457	-959	2
50	551	193	2
51	-684	-759	1
51	396	-903	1
51	396	-399	1
51	612	-831	1
54	51	-651	1
57	-342	-327	1
57	738	33	1
60	393	357	1
61	-338	865	1
69	-666	609	1
69	-666	753	1
69	-90	-903	1
69	126	-831	1
69	414	969	1
74	-865	-359	2
74	-361	361	2
74	-361	-647	2
74	-73	145	2
74	215	1	2
74	719	721	2
74	719	-287	2
75	-828	-831	1
75	-540	-327	1
75	252	-471	1
75	540	33	1
75	756	105	1
86	-637	265	2
86	-637	-455	2
86	-133	985	2
86	659	-815	2
87	-576	537	1
87	-360	609	1
87	-72	969	1
87	720	969	1
97	-518	-287	1
97	562	73	1
103	-680	-287	1
103	400	73	1
105	-54	-975	1
105	738	897	1
106	559	-467	1
110	-253	73	2
110	-253	-287	2
110	35	-647	2
110	251	433	2
110	251	-575	2
110	827	73	2
110	827	433	2
111	-432	33	1
111	-432	393	1
111	-216	105	1
111	-216	465	1
111	864	465	1
111	864	825	1
114	15	717	1
121	-86	73	1
121	922	145	1
122	-817	-527	2
122	-601	-23	2
122	-25	-383	2
122	479	337	2
122	983	-599	2
126	483	-867	1
129	-126	-111	1
129	90	-39	1
133	598	505	1
139	436	505	1
141	-738	465	1
141	342	825	1
146	-721	73	2
146	-433	-71	2
146	71	-503	2
146	359	433	2
146	647	289	2
146	863	865	2
147	-396	-543	1
147	684	-183	1
150	-453	-291	1
150	627	69	1
150	627	-867	1
151	-896	73	1
158	-781	-455	2
158	-781	-95	2
158	-205	-455	2
158	-205	-167	2
158	11	913	2
158	11	-887	2
158	299	265	2
158	299	-95	2
158	803	-671	2
159	-936	-687	1
159	72	393	1
165	-594	465	1
165	486	825	1
168	-147	429	1
168	933	789	1
169	-374	-935	1
169	706	-575	1
177	-918	825	1
177	-126	-759	1
177	378	249	1
177	378	393	1
177	954	-759	1
177	954	-399	1
180	-975	933	1
180	-975	-867	1
180	321	-435	1
182	-901	-359	2
182	-613	793	2
182	179	1	2
182	179	-719	2
182	683	1	2
182	683	721	2
182	683	-791	2
183	-792	-111	1
183	216	393	1
186	159	645	1
187	-860	505	1
187	220	865	1
194	-673	913	2
194	-673	-455	2
194	-169	265	2
194	407	-887	2
194	407	-95	2
194	911	625	2
195	-108	753	1
195	468	-903	1
196	-791	-107	1
198	-669	-867	1
201	522	-255	1
204	-831	213	1
211	364	-647	1
213	-594	249	1
213	-306	753	1
213	486	609	1
218	-505	-215	2
218	503	-71	2
218	791	-647	2
219	-756	-111	1
219	-468	-687	1
219	324	249	1
219	612	-327	1
222	-21	-3	1
223	40	433	1
226	487	-395	1
229	-914	505	1
229	166	865	1
230	-853	769	2
230	-565	-95	2
230	-349	-167	2
230	731	193	2
231	-792	753	1
231	-504	-759	1
232	325	685	1
237	-666	681	1
237	342	105	1
244	1	-755	1
249	-774	-255	1
249	-486	249	1
249	306	105	1
249	306	-831	1
249	594	609	1
249	810	681	1
254	-685	-863	2
254	-469	217	2
254	-469	-791	2
254	-181	-431	2
254	611	577	2
254	611	-431	2
254	899	-71	2
258	591	933	1
266	47	769	2
266	47	-23	2
266	263	-815	2
266	551	-959	2
267	-972	609	1
267	108	969	1
270	-525	573	1
270	555	933	1
273	-846	-327	1
273	-630	-255	1
273	-342	105	1
273	450	105	1
273	738	465	1
273	954	33	1
283	508	145	1
285	-954	105	1
285	-378	609	1
285	-162	537	1
285	-162	681	1
285	126	465	1
285	918	897	1
288	-219	-867	1
