u_num	u_den	t_num	t_den	w_num	w_den
-51486	131663	-82443	34594	225273	36791
115033	129696	242121	246782	-148088	152085
240130	67461	-172887	20593	-178431	159886
-144653	77266	112723	82323	226582	57229
-31995	110062	22678	232735	-115990	48751
139696	56401	-163761	122372	255733	228832
-10919	151484	-206856	131687	191733	7756
-188024	233323	22477	13484	105013	105848
229181	148739	140270	233927	-10955	196409
137531	63276	-34714	31173	122050	5861
-150257	190793	-103385	54448	-74771	185816
50935	9189	-228022	125263	-116179	188350
-43291	115704	68614	160729	-191371	65651
6533	8735	171253	67233	-235953	168965
17897	135958	-83402	34395	-79662	220589
227833	106230	-163761	175480	143027	185829
247224	240247	161293	73013	-163567	144986
71897	94834	89946	20609	-76017	37682
61235	48948	-244528	146437	-79018	31877
13603	78495	73853	258110	-155593	118149
-112476	21667	85405	181252	75101	56921
67226	192737	79599	171737	123617	107512
15208	166261	149606	253791	64544	47733
57613	200348	198237	134188	-243651	70904
134334	225535	-143143	18575	-223173	203468
-55707	131992	213067	234438	174840	177299
-205297	63377	66671	183857	-84407	158216
220483	254460	112309	9510	6267	69886
-231769	231323	80707	201731	213162	245143
-124990	98257	-149872	26019	217123	206314
43881	251741	-32110	151439	-197443	232698
-7114	252323	-178901	107672	-58297	185703
-68879	212770	146692	47539	148370	244281
-94725	244331	-73853	17774	49363	161144
54097	66760	173098	55095	133622	52271
9257	156185	29233	156034	216063	223607
-252067	231918	83317	222744	7341	35680
-59363	164761	-240994	144345	236350	209709
219733	62774	198237	231202	-74982	245785
-257210	229421	108698	174297	-162433	75289
103032	132533	-240994	128085	-93791	81291
57852	128851	222394	163435	-161485	94161
-112281	252592	-140771	30665	-75244	154763
47083	174149	221559	199711	-158639	233855
83753	165221	83317	227496	110989	86018
73244	179305	124032	113143	-61956	63979
-111437	210745	132791	247458	9610	133103
-178147	50506	150917	155118	-78271	168372
230195	93241	202768	118207	-26709	6700
-223983	80323	253431	226706	149808	243791
-19807	118108	35309	36097	47867	109125
-85093	169152	-249014	137905	253709	216753
-257219	151234	68614	10403	165153	241811
122891	243025	31434	203095	-82722	246733
-105566	134671	-159367	128540	-67510	120603
219037	70844	-45885	190951	-69225	114281
-227008	94491	-225446	54595	-212665	92088
115826	72225	-201617	188954	-152012	68093
-245363	199164	86190	60479	23501	246538
-142914	117077	83317	202987	-7199	76265
20765	83658	259927	102174	-182774	43003
67438	178345	-120666	89681	-164033	193590
-228365	54427	112723	243119	-28893	189502
7494	37969	-178633	65106	-27371	201525
251188	62019	217558	8243	-255595	5623
24025	238857	-235755	233911	25079	76033
191624	187111	89063	121470	-521	95341
185090	228031	151931	3537	174257	90920
14869	64664	-163761	247106	212752	5823
-58785	148997	-151931	68117	-72997	222438
215074	241159	48277	1203	-121168	215581
231469	70569	47182	189403	-164503	159702
133024	196089	251827	250611	26850	109891
179933	258983	244283	11393	107835	28751
164221	102945	-98020	201449	67827	156401
-84939	11603	88288	192177	-202991	224760
-105905	59658	-230299	195939	-102065	149858
154921	45070	192075	82349	-1963	119648
-99309	78355	164381	250422	-241690	6531
99719	196892	-223380	19477	216301	249105
-236443	143427	202783	64431	29611	115366
59441	159173	-135031	15258	37669	218371
197689	139827	-196040	7303	-76859	31353
-130887	36185	-145261	25268	220923	62338
197731	211911	230299	39803	-67833	196940
-169525	43042	206011	172517	-145709	231267
22780	220551	249951	43817	2733	103487
-151399	260239	-12844	69001	78257	200531
-207013	58948	-75877	106786	-203230	233931
43862	127997	-223675	158703	-249743	155269
105731	186700	132158	222753	-172181	143757
85077	257702	-210273	61703	101249	153415
-150487	198194	120497	185157	-129201	132692
-174063	258800	61741	186858	53527	54053
-152771	177843	-119833	256239	-179726	99265
-186018	3385	73853	163374	195166	82673
-201473	101957	-230299	38275	-91638	241381
-120237	19823	152743	86786	-111449	151423
-192947	258809	-159367	259620	-186889	40952
-228471	104695	198237	156980	186601	27107
118109	83178	-222921	95813	20021	144489
160488	81647	121703	75763	7807	100576
-121555	179657	-35429	209381	185597	173590
-130943	24545	-238612	107277	-190878	249083
30925	245697	96499	121816	-208496	90653
41681	57675	-127813	185846	65183	171694
-81266	150295	-208715	51648	-233133	99614
234763	123056	-148444	77405	-8277	86791
-150991	188193	-215574	183527	-137140	31113
57517	214779	199927	207351	31299	134762
122248	61797	179395	32632	-27327	141215
-115346	43987	-124729	220174	55363	146572
-19945	50979	157251	19280	95164	59617
-98401	6117	218348	109847	-118256	162919
71369	38664	60605	113871	213076	114093
120550	176691	14027	207140	232239	250652
145861	181036	167459	129885	24239	209750
229533	211771	94858	21803	-35303	16394
-166325	128507	-93119	16200	-24517	148757
-707	58237	-230299	240334	204873	173048
-44849	239926	-101591	217405	97390	103657
-99133	207275	66576	164789	62329	243277
146567	163545	-34017	83269	-47431	195978
-92311	220839	202124	37963	37375	212809
-56461	100095	-9633	101765	216362	233813
4392	112135	-143143	110752	-146732	60725
-195219	65653	80275	256449	65584	18137
132697	124268	201319	109105	-23599	234898
-35177	239848	-47311	260328	183278	239693
-255201	42506	52877	88500	-29428	109199
23957	241401	-37031	191635	121789	115624
