m	n	torsion_coset
673683	0	2
739203	0	2
1094103	0	2
1214223	0	2
1814823	0	2
1940403	0	2
2295303	0	2
2721183	0	2
2961423	0	2
3376383	0	2
3496503	0	2
3862323	0	2
4097103	0	2
4162623	0	2
4277283	0	2
4517523	0	2
4577583	0	2
4823283	0	2
5243703	0	2
5363823	0	2
5418423	0	2
5718723	0	2
5778783	0	2
5964423	0	2
6379383	0	2
6444903	0	2
6919923	0	2
7525983	0	2
7646103	0	2
7700703	0	2
8246703	0	2
8426883	0	2
8667123	0	2
8727183	0	2
9082083	0	2
9568023	0	2
9802803	0	2
9868323	0	2
9928383	0	2
9982983	0	2
10223223	0	2
10283283	0	2
10528983	0	2
11069523	0	2
11424423	0	2
11484483	0	2
11850303	0	2
12505503	0	2
12625623	0	2
13226223	0	2
13231683	0	2
13406403	0	2
13706703	0	2
13952403	0	2
14132583	0	2
14372823	0	2
14432883	0	2
14787783	0	2
14907903	0	2
15508503	0	2
15574023	0	2
15634083	0	2
15988983	0	2
16655103	0	2
16775223	0	2
16829823	0	2
17190183	0	2
17375823	0	2
17556003	0	2
17790783	0	2
17856303	0	2
18211203	0	2
18931923	0	2
18937383	0	2
19057503	0	2
19112103	0	2
19412403	0	2
19658103	0	2
20138583	0	2
20613603	0	2
20979423	0	2
21339783	0	2
21394383	0	2
21634623	0	2
21940383	0	2
22360803	0	2
22535523	0	2
22835823	0	2
23081523	0	2
23261703	0	2
23496483	0	2
23562003	0	2
23916903	0	2
24037023	0	2
24637623	0	2
24763203	0	2
25118103	0	2
25543983	0	2
25784223	0	2
26199183	0	2
26319303	0	2
26685123	0	2
26919903	0	2
26985423	0	2
27100083	0	2
27340323	0	2
27400383	0	2
27646083	0	2
28066503	0	2
28186623	0	2
28241223	0	2
28541523	0	2
28601583	0	2
28787223	0	2
29202183	0	2
29267703	0	2
29742723	0	2
30348783	0	2
30468903	0	2
30523503	0	2
31069503	0	2
31249683	0	2
31489923	0	2
31549983	0	2
31904883	0	2
32390823	0	2
32625603	0	2
32691123	0	2
32751183	0	2
32805783	0	2
33046023	0	2
33106083	0	2
33351783	0	2
33892323	0	2
34247223	0	2
34307283	0	2
34673103	0	2
35328303	0	2
35448423	0	2
36049023	0	2
36054483	0	2
36229203	0	2
36529503	0	2
36775203	0	2
36955383	0	2
37195623	0	2
37255683	0	2
37610583	0	2
37730703	0	2
38331303	0	2
38396823	0	2
38456883	0	2
38811783	0	2
39477903	0	2
39598023	0	2
39652623	0	2
40012983	0	2
40198623	0	2
40378803	0	2
40613583	0	2
40679103	0	2
41034003	0	2
41754723	0	2
41760183	0	2
41880303	0	2
41934903	0	2
42235203	0	2
42480903	0	2
42961383	0	2
43436403	0	2
43802223	0	2
44162583	0	2
44217183	0	2
44457423	0	2
44763183	0	2
45183603	0	2
45358323	0	2
45658623	0	2
45904323	0	2
46084503	0	2
46319283	0	2
46384803	0	2
46739703	0	2
46859823	0	2
47460423	0	2
47586003	0	2
47940903	0	2
48366783	0	2
48607023	0	2
49021983	0	2
49142103	0	2
49507923	0	2
49742703	0	2
49808223	0	2
49922883	0	2
50163123	0	2
50223183	0	2
50468883	0	2
50889303	0	2
51009423	0	2
51064023	0	2
51364323	0	2
51424383	0	2
51610023	0	2
52024983	0	2
52090503	0	2
52565523	0	2
53171583	0	2
53291703	0	2
53346303	0	2
53892303	0	2
54072483	0	2
54312723	0	2
54372783	0	2
54727683	0	2
55213623	0	2
55448403	0	2
55513923	0	2
55573983	0	2
55628583	0	2
55868823	0	2
55928883	0	2
56174583	0	2
56715123	0	2
57070023	0	2
57130083	0	2
57495903	0	2
58151103	0	2
58271223	0	2
58871823	0	2
58877283	0	2
59052003	0	2
59352303	0	2
59598003	0	2
59778183	0	2
60018423	0	2
60078483	0	2
60433383	0	2
60553503	0	2
61154103	0	2
61219623	0	2
61279683	0	2
61634583	0	2
62300703	0	2
62420823	0	2
62475423	0	2
62835783	0	2
63021423	0	2
63201603	0	2
63436383	0	2
63501903	0	2
63856803	0	2
64577523	0	2
64582983	0	2
64703103	0	2
64757703	0	2
