u	t	w	center	a	b	c	d	y0	y1	y2	y3
137489	144353	88814	592	50	528	160325	160160	130680	128180	148104	74294
137489	158994	88814	593	50	528	160325	160160	130680	128180	148104	74294
137489	13915	88814	594	50	528	160325	160160	130680	128180	148104	74294
137489	28556	88814	595	50	528	160325	160160	130680	128180	148104	74294
137489	43197	88814	596	50	528	160325	160160	130680	128180	148104	74294
137489	57838	88814	597	50	528	160325	160160	130680	128180	148104	74294
137489	72479	88814	598	50	528	160325	160160	130680	128180	148104	74294
137489	87120	88814	599	50	528	160325	160160	130680	128180	148104	74294
137489	101761	88814	600	50	528	160325	160160	130680	128180	148104	74294
137489	116402	88814	601	50	528	160325	160160	130680	128180	148104	74294
137489	131043	88814	602	50	528	160325	160160	130680	128180	148104	74294
137489	145684	88814	603	50	528	160325	160160	130680	128180	148104	74294
137489	160325	88814	604	50	528	160325	160160	130680	128180	148104	74294
137489	726	88814	605	50	528	160325	160160	130680	128180	148104	74294
137489	15367	88814	606	50	528	160325	160160	130680	128180	148104	74294
137489	30008	88814	607	50	528	160325	160160	130680	128180	148104	74294
137489	44649	88814	608	50	528	160325	160160	130680	128180	148104	74294
137489	59290	88814	609	50	528	160325	160160	130680	128180	148104	74294
137489	73931	88814	610	50	528	160325	160160	130680	128180	148104	74294
137489	88572	88814	611	50	528	160325	160160	130680	128180	148104	74294
137489	103213	88814	612	50	528	160325	160160	130680	128180	148104	74294
137489	117854	88814	613	50	528	160325	160160	130680	128180	148104	74294
137489	132495	88814	614	50	528	160325	160160	130680	128180	148104	74294
137489	147136	88814	615	50	528	160325	160160	130680	128180	148104	74294
137489	2057	88814	616	50	528	160325	160160	130680	128180	148104	74294
137489	16698	88814	617	50	528	160325	160160	130680	128180	148104	74294
137489	31339	88814	618	50	528	160325	160160	130680	128180	148104	74294
137489	45980	88814	619	50	528	160325	160160	130680	128180	148104	74294
137489	60621	88814	620	50	528	160325	160160	130680	128180	148104	74294
137489	75262	88814	621	50	528	160325	160160	130680	128180	148104	74294
137489	89903	88814	622	50	528	160325	160160	130680	128180	148104	74294
137489	104544	88814	623	50	528	160325	160160	130680	128180	148104	74294
137489	119185	88814	624	50	528	160325	160160	130680	128180	148104	74294
137489	133826	88814	625	50	528	160325	160160	130680	128180	148104	74294
137489	148467	88814	626	50	528	160325	160160	130680	128180	148104	74294
137489	3388	88814	627	50	528	160325	160160	130680	128180	148104	74294
137489	18029	88814	628	50	528	160325	160160	130680	128180	148104	74294
137489	32670	88814	629	50	528	160325	160160	130680	128180	148104	74294
137489	47311	88814	630	50	528	160325	160160	130680	128180	148104	74294
137489	61952	88814	631	50	528	160325	160160	130680	128180	148104	74294
137489	76593	88814	632	50	528	160325	160160	130680	128180	148104	74294
137489	91234	88814	633	50	528	160325	160160	130680	128180	148104	74294
137489	105875	88814	634	50	528	160325	160160	130680	128180	148104	74294
137489	120516	88814	635	50	528	160325	160160	130680	128180	148104	74294
137489	135157	88814	636	50	528	160325	160160	130680	128180	148104	74294
137489	149798	88814	637	50	528	160325	160160	130680	128180	148104	74294
137489	4719	88814	638	50	528	160325	160160	130680	128180	148104	74294
137489	19360	88814	639	50	528	160325	160160	130680	128180	148104	74294
137489	34001	88814	640	50	528	160325	160160	130680	128180	148104	74294
137489	48642	88814	641	50	528	160325	160160	130680	128180	148104	74294
137489	63283	88814	642	50	528	160325	160160	130680	128180	148104	74294
137489	77924	88814	643	50	528	160325	160160	130680	128180	148104	74294
137489	92565	88814	644	50	528	160325	160160	130680	128180	148104	74294
137489	107206	88814	645	50	528	160325	160160	130680	128180	148104	74294
137489	121847	88814	646	50	528	160325	160160	130680	128180	148104	74294
137489	136488	88814	647	50	528	160325	160160	130680	128180	148104	74294
137489	151129	88814	648	50	528	160325	160160	130680	128180	148104	74294
137489	6050	88814	649	50	528	160325	160160	130680	128180	148104	74294
137489	20691	88814	650	50	528	160325	160160	130680	128180	148104	74294
137489	35332	88814	651	50	528	160325	160160	130680	128180	148104	74294
137489	49973	88814	652	50	528	160325	160160	130680	128180	148104	74294
137489	64614	88814	653	50	528	160325	160160	130680	128180	148104	74294
137489	79255	88814	654	50	528	160325	160160	130680	128180	148104	74294
137489	93896	88814	655	50	528	160325	160160	130680	128180	148104	74294
137489	108537	88814	656	50	528	160325	160160	130680	128180	148104	74294
137489	123178	88814	657	50	528	160325	160160	130680	128180	148104	74294
137489	137819	88814	658	50	528	160325	160160	130680	128180	148104	74294
137489	152460	88814	659	50	528	160325	160160	130680	128180	148104	74294
137489	7381	88814	660	50	528	160325	160160	130680	128180	148104	74294
137489	22022	88814	661	50	528	160325	160160	130680	128180	148104	74294
137489	36663	88814	662	50	528	160325	160160	130680	128180	148104	74294
137489	51304	88814	663	50	528	160325	160160	130680	128180	148104	74294
137489	65945	88814	664	50	528	160325	160160	130680	128180	148104	74294
137489	80586	88814	665	50	528	160325	160160	130680	128180	148104	74294
137489	95227	88814	666	50	528	160325	160160	130680	128180	148104	74294
137489	109868	88814	667	50	528	160325	160160	130680	128180	148104	74294
137489	124509	88814	668	50	528	160325	160160	130680	128180	148104	74294
137489	139150	88814	669	50	528	160325	160160	130680	128180	148104	74294
137489	153791	88814	670	50	528	160325	160160	130680	128180	148104	74294
137489	8712	88814	671	50	528	160325	160160	130680	128180	148104	74294
