2.0.11.1-11385.4-a2|-11|1,1,-1,1,1,0,-26,1,44,-2|6|0
2.0.11.1-11385.4-a4|-11|1,1,-1,1,1,0,4,-4,8,4|6|0
2.0.11.1-11385.6-h2|-11|1,0,0,1,0,1,96,22,-429,272|2,4|0
2.0.11.1-11385.6-m4|-11|1,1,0,0,0,0,-31,61,56,-125|2,4|0
2.0.11.1-11385.7-c5|-11|1,0,1,-1,1,1,118,-23,-157,-273|2,4|0
2.0.11.1-11385.7-m4|-11|0,1,1,-1,0,0,30,-61,-69,125|2,4|0
2.0.11.1-11385.9-a2|-11|0,1,1,1,0,1,-21,-2,49,-22|6|0
2.0.11.1-11385.9-a3|-11|0,1,1,1,0,1,4,3,4,2|6|0
2.0.11.1-11520.3-c1|-11|0,0,-1,0,0,0,3432,1752,-140544,54144|2,4|0
2.0.11.1-11520.3-i4|-11|0,0,-1,-1,0,0,11,-2,1,-13|2,4|0
2.0.11.1-11520.3-q2|-11|0,0,1,1,0,0,251,-47,-184,-713|2,4|0
2.0.11.1-11520.3-s3|-11|0,0,1,1,0,0,31,18,-81,33|2,4|0
2.0.11.1-11520.3-z4|-11|0,0,1,0,0,0,17,-13,-61,1|2,4|0
2.0.11.1-11520.4-a1|-11|0,0,-1,0,0,0,5184,-1752,-86400,-54144|2,4|0
2.0.11.1-11520.4-f2|-11|0,0,-1,-1,0,0,203,49,-1100,665|2,4|0
2.0.11.1-11520.4-h3|-11|0,0,-1,-1,0,0,48,-16,-96,-16|2,4|0
2.0.11.1-11520.4-n4|-11|0,0,1,1,0,0,8,4,-4,16|2,4|0
2.0.11.1-11520.4-w4|-11|0,0,1,0,0,0,4,13,-60,-1|2,4|0
2.0.11.1-1156.1-a1|-11|1,0,0,0,0,0,-3,0,1,0|6|1
2.0.11.1-1156.1-a3|-11|1,0,0,0,0,0,-43,0,105,0|6|1
2.0.11.1-11925.10-i2|-11|1,0,0,0,0,0,115,25,453,-334|2,4|0
2.0.11.1-11925.9-i1|-11|1,0,0,0,0,0,140,-25,119,334|2,4|0
2.0.11.1-12060.5-d1|-11|1,0,0,0,0,0,-50,-4054,-139176,136188|6|0
2.0.11.1-12060.5-d2|-11|1,0,0,0,0,0,-12850,1066,-1044904,266236|6|0
2.0.11.1-12060.5-d3|-11|1,0,0,0,0,0,85,266,-1179,216|6|0
2.0.11.1-12060.5-d4|-11|1,0,0,0,0,0,1325,3226,-181363,-3224|6|0
2.0.11.1-12060.8-d1|-11|1,0,0,0,0,0,-4104,4054,-2988,-136188|6|0
2.0.11.1-12060.8-d2|-11|1,0,0,0,0,0,-11784,-1066,-778668,-266236|6|0
2.0.11.1-12060.8-d3|-11|1,0,0,0,0,0,351,-266,-963,-216|6|0
2.0.11.1-12060.8-d4|-11|1,0,0,0,0,0,4551,-3226,-184587,3224|6|0
2.0.11.1-12144.1-a2|-11|0,0,1,0,0,0,-3,15,-21,-11|6|0
2.0.11.1-12144.1-a4|-11|0,0,1,0,0,0,2,5,11,2|6|0
2.0.11.1-12144.4-a2|-11|0,0,1,0,0,0,12,-15,-32,11|6|0
2.0.11.1-12144.4-a4|-11|0,0,1,0,0,0,7,-5,13,-2|6|0
2.0.11.1-12420.10-c3|-11|1,0,0,-1,1,1,-30,2,-35,-4|6|0
2.0.11.1-12420.10-c4|-11|1,0,0,-1,1,1,-230,82,1181,-620|6|0
2.0.11.1-12420.11-d2|-11|0,1,1,1,0,0,-29,104,528,319|6|0
2.0.11.1-12420.11-d3|-11|0,1,1,1,0,0,-29,14,42,-41|6|0
2.0.11.1-12420.6-d1|-11|1,1,-1,1,0,1,75,-105,1083,-244|6|0
2.0.11.1-12420.6-d2|-11|1,1,-1,1,0,1,-15,-15,57,26|6|0
2.0.11.1-12420.7-c1|-11|1,0,-1,1,0,1,-147,-83,562,619|6|0
2.0.11.1-12420.7-c4|-11|1,0,-1,1,0,1,-27,-3,-38,3|6|0
2.0.11.1-12420.8-g1|-11|0,1,0,0,1,0,6,-4,-12,-4|6|0
2.0.11.1-12420.8-g3|-11|0,1,0,0,1,0,6,36,-204,-20|6|0
2.0.11.1-12420.9-g1|-11|1,1,0,-1,1,0,42,-37,-224,20|6|0
2.0.11.1-12420.9-g2|-11|1,1,0,-1,1,0,2,3,-16,4|6|0
2.0.11.1-12555.10-b1|-11|1,0,-1,0,0,1,-54,178,1317,641|6|0
2.0.11.1-12555.10-b4|-11|1,0,-1,0,0,1,-864,2863,82884,43067|6|0
2.0.11.1-12555.11-c1|-11|1,0,-1,0,1,1,124,-179,1958,-642|6|0
2.0.11.1-12555.11-c4|-11|1,0,-1,0,1,1,1999,-2864,125951,-43068|6|0
2.0.11.1-12555.12-a3|-11|1,1,-1,0,0,0,27,30,-70,-44|6|0
2.0.11.1-12555.12-a4|-11|1,1,-1,0,0,0,27,15,83,-35|6|0
2.0.11.1-12555.9-a3|-11|0,1,0,-1,0,0,57,-30,-114,44|6|0
2.0.11.1-12555.9-a4|-11|0,1,0,-1,0,0,42,-15,48,35|6|0
2.0.11.1-12585.1-a1|-11|0,0,1,-1,0,1,-8,-14,6,-30|7|0
2.0.11.1-12585.8-a2|-11|0,0,0,1,1,1,-22,14,-24,29|7|0
2.0.11.1-12720.4-b2|-11|0,0,1,0,0,0,-64,4,-220,20|6|0
2.0.11.1-12720.4-b4|-11|0,0,1,0,0,0,-4,-1,-4,2|6|0
2.0.11.1-12720.5-a1|-11|0,0,1,0,0,0,-60,-4,-200,-20|6|0
2.0.11.1-12720.5-a4|-11|0,0,1,0,0,0,-5,1,-2,-2|6|0
2.0.11.1-12780.5-a1|-11|0,1,1,-1,0,0,-899,857,273,-12747|6|0
2.0.11.1-12780.5-a4|-11|0,1,1,-1,0,0,-659,1017,13377,-12507|6|0
2.0.11.1-12780.6-f3|-11|1,0,0,0,1,1,-163,-63,-580,-1605|10|0
2.0.11.1-12780.6-f4|-11|1,0,0,0,1,1,137,-43,-352,-229|10|0
2.0.11.1-12780.7-f1|-11|1,0,0,0,0,1,95,42,-580,228|10|0
2.0.11.1-12780.7-f4|-11|1,0,0,0,0,1,-225,62,-2184,1604|10|0
2.0.11.1-12780.8-a1|-11|1,1,0,0,0,0,-42,-857,-12474,12747|6|0
2.0.11.1-12780.8-a4|-11|1,1,0,0,0,0,358,-1017,870,12507|6|0
2.0.11.1-1296.3-a1|-11|0,0,0,0,0,0,0,0,1,0|6|1
2.0.11.1-1296.3-a3|-11|0,0,0,0,0,0,-15,0,22,0|6|1
2.0.11.1-12996.2-c2|-11|1,0,0,0,0,0,32,0,8,0|6|1
2.0.11.1-12996.2-c3|-11|1,0,0,0,0,0,-8,0,0,0|6|1
2.0.11.1-13248.3-a2|-11|0,0,-1,-1,0,0,20,-4,-20,-40|2,4|0
2.0.11.1-13248.4-a5|-11|0,0,1,1,0,0,15,6,-45,45|2,4|0
2.0.11.1-13275.10-a6|-11|0,1,-1,-1,1,0,-48,29,74,-99|2,4|0
2.0.11.1-13275.9-a5|-11|1,1,1,0,0,1,-19,-29,-44,70|2,4|0
2.0.11.1-135.3-a1|-11|1,1,-1,1,1,0,-2,-7,2,6|6|0
2.0.11.1-135.3-a2|-11|1,1,-1,1,1,0,-2,-2,2,0|6|0
2.0.11.1-135.6-a1|-11|0,1,1,1,0,1,-5,6,-9,-6|6|0
2.0.11.1-135.6-a2|-11|0,1,1,1,0,1,0,1,0,0|6|0
2.0.11.1-13740.4-b1|-11|0,1,1,-1,1,0,34,19,173,-68|6|0
2.0.11.1-13740.4-b3|-11|0,1,1,-1,1,0,4,-1,5,0|6|0
2.0.11.1-13740.5-a2|-11|1,1,0,0,1,0,53,-20,105,68|6|0
2.0.11.1-13740.5-a3|-11|1,1,0,0,1,0,3,0,5,0|6|0
2.0.11.1-13924.2-a1|-11|1,1,1,0,0,0,27,-3,1,24|5|0
2.0.11.1-13924.2-b1|-11|0,1,-1,-1,0,1,26,4,2,-28|5|0
2.0.11.1-13924.2-d1|-11|1,0,1,0,1,0,-25,0,39,0|5|1
